time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s]
0.000000,0.015757,0.007338,1.001769,0.056644,-0.231966,0.009362,0.782899,0.366349,0.962263,-0.604015,-0.095004,0.243082,0.700406,-0.371195,0.976400,0.038367,0.271602,0.042278,-0.773282,0.345642,1.009106,0.444563,0.003368,-0.201931,-0.740290,-0.373040,0.999907,0.233749,0.154045,-0.027158
0.020000,0.016890,0.002698,1.001956,0.056613,-0.231987,0.009360,0.770818,0.364449,0.967125,-0.604177,-0.095033,0.243158,0.701173,-0.365762,0.977246,0.038372,0.271650,0.042327,-0.764390,0.345710,1.005068,0.444707,0.003374,-0.201948,-0.735615,-0.369959,0.999364,0.233827,0.154093,-0.027156
0.040000,0.018021,-0.001942,1.002143,0.056521,-0.232050,0.009353,0.758730,0.362547,0.971990,-0.604665,-0.095120,0.243388,0.701941,-0.360328,0.978094,0.038389,0.271794,0.042472,-0.755492,0.345777,1.001028,0.445137,0.003393,-0.201998,-0.730936,-0.366876,0.998820,0.234058,0.154239,-0.027151
0.060000,0.019150,-0.006584,1.002330,0.056368,-0.232156,0.009341,0.746629,0.360644,0.976862,-0.605478,-0.095266,0.243771,0.702709,-0.354890,0.978945,0.038417,0.272035,0.042715,-0.746582,0.345846,0.996987,0.445853,0.003425,-0.202082,-0.726251,-0.363789,0.998278,0.234445,0.154481,-0.027143
0.080000,0.020275,-0.011229,1.002517,0.056153,-0.232303,0.009325,0.734508,0.358736,0.981742,-0.606617,-0.095469,0.244307,0.703477,-0.349446,0.979803,0.038455,0.272373,0.043054,-0.737656,0.345914,0.992945,0.446856,0.003470,-0.202199,-0.721557,-0.360696,0.997735,0.234986,0.154819,-0.027131
0.100000,0.021396,-0.015877,1.002703,0.055878,-0.232493,0.009304,0.722362,0.356824,0.986635,-0.608080,-0.095731,0.244995,0.704247,-0.343994,0.980668,0.038505,0.272807,0.043491,-0.728706,0.345984,0.988899,0.448146,0.003528,-0.202350,-0.716851,-0.357595,0.997192,0.235682,0.155255,-0.027116
0.120000,0.022510,-0.020529,1.002889,0.055506,-0.232711,0.009277,0.710183,0.354907,0.991543,-0.609916,-0.096068,0.245867,0.705018,-0.338533,0.981544,0.038557,0.273335,0.044065,-0.719728,0.346056,0.984851,0.449786,0.003599,-0.202516,-0.712129,-0.354485,0.996650,0.236566,0.155807,-0.027099
0.140000,0.023615,-0.025185,1.003074,0.055004,-0.232944,0.009242,0.697963,0.352981,0.996471,-0.612171,-0.096499,0.246949,0.705789,-0.333060,0.982432,0.038602,0.273954,0.044819,-0.710712,0.346128,0.980799,0.451838,0.003685,-0.202681,-0.707387,-0.351362,0.996108,0.237672,0.156496,-0.027081
0.160000,0.024709,-0.029846,1.003259,0.054372,-0.233191,0.009199,0.685693,0.351046,1.001423,-0.614845,-0.097023,0.248243,0.706562,-0.327574,0.983338,0.038641,0.274666,0.045752,-0.701651,0.346203,0.976743,0.454304,0.003785,-0.202844,-0.702620,-0.348224,0.995567,0.238999,0.157322,-0.027061
0.180000,0.025789,-0.034513,1.003442,0.053610,-0.233453,0.009148,0.673366,0.349099,1.006402,-0.617939,-0.097641,0.249748,0.707335,-0.322073,0.984263,0.038672,0.275470,0.046864,-0.692537,0.346280,0.972685,0.457183,0.003900,-0.203005,-0.697825,-0.345068,0.995026,0.240548,0.158284,-0.027041
