time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s]
0.000000,0.043931,0.013338,0.997759,-0.145041,0.074312,0.071007,0.771094,0.338621,1.002508,-0.525476,0.165052,0.004907,0.727878,-0.416145,0.992106,-0.024646,0.473578,0.034608,-0.743451,0.419667,1.007415,0.312801,-0.446580,-0.238230,-0.774950,-0.366160,0.998131,0.757576,-0.029990,-0.043592
0.020000,0.041030,0.014824,0.999179,-0.145121,0.074281,0.071016,0.760584,0.341922,1.002606,-0.525612,0.165073,0.004904,0.727384,-0.406672,0.992798,-0.024697,0.473718,0.034614,-0.737195,0.410734,1.002650,0.312878,-0.446732,-0.238246,-0.759797,-0.366760,0.997260,0.757720,-0.029962,-0.043588
0.040000,0.038125,0.016309,1.000599,-0.145359,0.074190,0.071042,0.750068,0.345224,1.002704,-0.526020,0.165136,0.004896,0.726889,-0.397194,0.993490,-0.024852,0.474138,0.034630,-0.730935,0.401796,0.997885,0.313109,-0.447189,-0.238292,-0.744639,-0.367358,0.996388,0.758151,-0.029878,-0.043575
0.060000,0.035214,0.017791,1.002021,-0.145757,0.074037,0.071085,0.739541,0.348528,1.002801,-0.526700,0.165240,0.004882,0.726390,-0.387705,0.994183,-0.025110,0.474839,0.034657,-0.724669,0.392845,0.993119,0.313495,-0.447950,-0.238370,-0.729469,-0.367954,0.995517,0.758870,-0.029739,-0.043555
0.080000,0.032294,0.019270,1.003443,-0.146314,0.073823,0.071145,0.728998,0.351834,1.002899,-0.527652,0.165387,0.004862,0.725884,-0.378199,0.994877,-0.025471,0.475819,0.034695,-0.718394,0.383876,0.988350,0.314035,-0.449015,-0.238480,-0.714282,-0.368547,0.994646,0.759877,-0.029543,-0.043526
0.100000,0.029361,0.020744,1.004866,-0.147029,0.073548,0.071223,0.718433,0.355144,1.002996,-0.528876,0.165576,0.004837,0.725370,-0.368670,0.995571,-0.025936,0.477080,0.034744,-0.712107,0.374882,0.983579,0.314729,-0.450384,-0.238620,-0.699072,-0.369136,0.993776,0.761171,-0.029293,-0.043490
0.120000,0.026411,0.022211,1.006292,-0.147950,0.073164,0.071316,0.707841,0.358458,1.003092,-0.530420,0.165800,0.004804,0.724846,-0.359113,0.996266,-0.026537,0.478669,0.034801,-0.705804,0.365858,0.978805,0.315604,-0.452142,-0.238766,-0.683833,-0.369718,0.992906,0.762780,-0.028951,-0.043433
0.140000,0.023441,0.023669,1.007719,-0.149122,0.072624,0.071424,0.697214,0.361776,1.003188,-0.532331,0.166052,0.004761,0.724307,-0.349521,0.996963,-0.027310,0.480637,0.034864,-0.699481,0.356793,0.974029,0.316686,-0.454373,-0.238891,-0.668559,-0.370293,0.992038,0.764732,-0.028483,-0.043346
0.160000,0.020445,0.025115,1.009149,-0.150544,0.071927,0.071546,0.686545,0.365100,1.003283,-0.534610,0.166332,0.004709,0.723752,-0.339885,0.997661,-0.028253,0.482982,0.034931,-0.693135,0.347680,0.969250,0.317975,-0.457075,-0.238997,-0.653242,-0.370857,0.991173,0.767027,-0.027889,-0.043228
0.180000,0.017418,0.026545,1.010581,-0.152216,0.071074,0.071682,0.675827,0.368429,1.003376,-0.537257,0.166641,0.004646,0.723176,-0.330199,0.998360,-0.029367,0.485705,0.035004,-0.686761,0.338507,0.964469,0.319471,-0.460250,-0.239082,-0.637875,-0.371408,0.990310,0.769664,-0.027170,-0.043079
