time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s]
0.000000,0.873125,-0.762150,1.000636,-0.684499,1.099411,-0.006206,1.017911,-0.068626,0.998045,-0.223812,0.319141,0.006071,0.766089,0.871104,1.001236,-1.123813,-0.684478,-0.008843,-0.067900,-1.012727,0.998410,0.283789,0.214443,0.002592,0.000826,0.009343,0.998958,0.009941,-0.037880,0.051522,0.069736,1.015852,0.998112,-0.323783,-0.222639,0.006053,-0.768244,-0.869300,0.999648,1.141500,0.658261,-0.003158,-1.011320,0.076582,0.996284,0.176581,-0.352199,0.021087,-0.872179,0.771750,1.000062,0.683503,-1.165652,-0.001675
0.010000,0.866280,-0.751156,1.000574,-0.684482,1.099372,-0.006206,1.015673,-0.065434,0.998105,-0.223824,0.319176,0.006071,0.754851,0.864259,1.001148,-1.123777,-0.684460,-0.008844,-0.065062,-1.010582,0.998436,0.283824,0.214453,0.002592,0.000925,0.008964,0.999474,0.009940,-0.037885,0.051519,0.066498,1.013626,0.998172,-0.323818,-0.222651,0.006053,-0.756829,-0.862718,0.999616,1.141465,0.658242,-0.003158,-1.009555,0.073060,0.996495,0.176590,-0.352239,0.021087,-0.865344,0.760093,1.000045,0.683485,-1.165618,-0.001675
0.020000,0.859435,-0.740163,1.000512,-0.684430,1.099257,-0.006207,1.013434,-0.062242,0.998166,-0.223861,0.319282,0.006070,0.743614,0.857415,1.001059,-1.123667,-0.684405,-0.008846,-0.062223,-1.008438,0.998462,0.283929,0.214483,0.002591,0.001024,0.008585,0.999989,0.009939,-0.037899,0.051512,0.063259,1.011399,0.998233,-0.323926,-0.222686,0.006053,-0.745415,-0.856136,0.999585,1.141359,0.658184,-0.003158,-1.007789,0.069537,0.996706,0.176616,-0.352356,0.021089,-0.858510,0.748438,1.000028,0.683431,-1.165517,-0.001675
0.030000,0.852592,-0.729171,1.000450,-0.684343,1.099065,-0.006208,1.011195,-0.059049,0.998227,-0.223922,0.319458,0.006068,0.732378,0.850571,1.000971,-1.123484,-0.684313,-0.008849,-0.059383,-1.006293,0.998488,0.284103,0.214534,0.002591,0.001124,0.008206,1.000504,0.009937,-0.037922,0.051500,0.060019,1.009172,0.998293,-0.324104,-0.222744,0.006053,-0.734002,-0.849554,0.999553,1.141181,0.658088,-0.003157,-1.006022,0.066013,0.996917,0.176661,-0.352552,0.021092,-0.851676,0.736783,1.000011,0.683342,-1.165349,-0.001675
0.040000,0.845749,-0.718182,1.000388,-0.684221,1.098795,-0.006210,1.008956,-0.055853,0.998288,-0.224008,0.319704,0.006066,0.721145,0.843729,1.000882,-1.123229,-0.684184,-0.008853,-0.056541,-1.004147,0.998514,0.284347,0.214604,0.002589,0.001223,0.007827,1.001019,0.009934,-0.037955,0.051484,0.056777,1.006944,0.998354,-0.324355,-0.222825,0.006053,-0.722591,-0.842974,0.999522,1.140933,0.657953,-0.003155,-1.004255,0.062486,0.997128,0.176724,-0.352826,0.021095,-0.844843,0.725131,0.999995,0.683217,-1.165113,-0.001675
0.050000,0.838907,-0.707195,1.000326,-0.684065,1.098449,-0.006213,1.006715,-0.052654,0.998348,-0.224118,0.320021,0.006063,0.709914,0.836888,1.000794,-1.122900,-0.684019,-0.008858,-0.053696,-1.002001,0.998540,0.284660,0.214695,0.002588,0.001322,0.007447,1.001533,0.009930,-0.037997,0.051462,0.053532,1.004716,0.998414,-0.324676,-0.222930,0.006052,-0.711183,-0.836395,0.999490,1.140614,0.657779,-0.003153,-1.002488,0.058956,0.997339,0.176804,-0.353178,0.021100,-0.838012,0.713481,0.999978,0.683056,-1.164810,-0.001676
0.060000,0.832068,-0.696213,1.000263,-0.683874,1.098025,-0.006216,1.004473,-0.049452,0.998409,-0.224253,0.320408,0.006059,0.698687,0.830048,1.000705,-1.122499,-0.683816,-0.008865,-0.050848,-0.999853,0.998566,0.285043,0.214806,0.002586,0.001422,0.007067,1.002048,0.009926,-0.038048,0.051436,0.050283,1.002486,0.998475,-0.325069,-0.223059,0.006052,-0.699779,-0.829818,0.999459,1.140224,0.657567,-0.003151,-1.000719,0.055422,0.997550,0.176903,-0.353609,0.021106,-0.831182,0.701835,0.999961,0.682860,-1.164439,-0.001676
0.070000,0.825230,-0.685235,1.000201,-0.683648,1.097525,-0.006220,1.002230,-0.046246,0.998469,-0.224412,0.320865,0.006054,0.687464,0.823211,1.000616,-1.122024,-0.683577,-0.008872,-0.047995,-0.997704,0.998591,0.285496,0.214937,0.002584,0.001521,0.006686,1.002562,0.009920,-0.038109,0.051405,0.047030,1.000254,0.998535,-0.325534,-0.223210,0.006052,-0.688379,-0.823244,0.999427,1.139764,0.657317,-0.003148,-0.998950,0.051883,0.997761,0.177019,-0.354118,0.021113,-0.824355,0.690193,0.999944,0.682628,-1.164002,-0.001676
0.080000,0.818395,-0.674263,1.000139,-0.683387,1.096948,-0.006224,0.999985,-0.043035,0.998530,-0.224596,0.321393,0.006049,0.676247,0.816377,1.000528,-1.121476,-0.683302,-0.008881,-0.045137,-0.995554,0.998617,0.286018,0.215089,0.002582,0.001620,0.006304,1.003076,0.009914,-0.038179,0.051370,0.043772,0.998021,0.998596,-0.326070,-0.223385,0.006052,-0.676984,-0.816672,0.999396,1.139232,0.657028,-0.003145,-0.997179,0.048339,0.997972,0.177154,-0.354706,0.021121,-0.817530,0.678555,0.999928,0.682360,-1.163496,-0.001676
0.090000,0.811562,-0.663296,1.000077,-0.683092,1.096294,-0.006229,0.997738,-0.039818,0.998590,-0.224804,0.321991,0.006043,0.665035,0.809545,1.000439,-1.120855,-0.682989,-0.008891,-0.042274,-0.993403,0.998643,0.286611,0.215260,0.002579,0.001719,0.005922,1.003589,0.009907,-0.038258,0.051330,0.040509,0.995787,0.998656,-0.326678,-0.223583,0.006052,-0.665595,-0.810104,0.999364,1.138630,0.656700,-0.003142,-0.995406,0.044789,0.998183,0.177306,-0.355372,0.021130,-0.810708,0.666923,0.999911,0.682057,-1.162924,-0.001676
0.100000,0.804733,-0.652337,1.000014,-0.682762,1.095562,-0.006235,0.995489,-0.036594,0.998651,-0.225037,0.322660,0.006037,0.653830,0.802717,1.000350,-1.120162,-0.682640,-0.008902,-0.039405,-0.991249,0.998669,0.287272,0.215452,0.002576,0.001818,0.005539,1.004103,0.009899,-0.038347,0.051285,0.037238,0.993550,0.998717,-0.327357,-0.223805,0.006051,-0.654212,-0.803538,0.999333,1.137956,0.656333,-0.003138,-0.993633,0.041232,0.998394,0.177476,-0.356116,0.021140,-0.803889,0.655297,0.999894,0.681718,-1.162284,-0.001676
0.110000,0.797907,-0.641385,0.999952,-0.682382,1.094725,-0.006241,0.993237,-0.033364,0.998711,-0.225299,0.323416,0.006029,0.642632,0.795893,1.000261,-1.119367,-0.682238,-0.008915,-0.036529,-0.989093,0.998695,0.288025,0.215671,0.002572,0.001917,0.005155,1.004615,0.009891,-0.038445,0.051232,0.033961,0.991310,0.998777,-0.328126,-0.224054,0.006051,-0.642836,-0.796977,0.999301,1.137184,0.655914,-0.003133,-0.991857,0.037666,0.998606,0.177671,-0.356960,0.021151,-0.797073,0.643678,0.999877,0.681328,-1.161549,-0.001676
0.120000,0.791086,-0.630443,0.999890,-0.681940,1.093754,-0.006248,0.990983,-0.030126,0.998771,-0.225595,0.324279,0.006020,0.631443,0.789073,1.000171,-1.118443,-0.681770,-0.008929,-0.033644,-0.986935,0.998720,0.288889,0.215923,0.002568,0.002016,0.004770,1.005127,0.009884,-0.038553,0.051170,0.030676,0.989068,0.998838,-0.329003,-0.224336,0.006049,-0.631469,-0.790420,0.999270,1.136286,0.655426,-0.003127,-0.990079,0.034092,0.998817,0.177899,-0.357927,0.021163,-0.790262,0.632066,0.999861,0.680874,-1.160692,-0.001676
0.130000,0.784269,-0.619511,0.999827,-0.681434,1.092648,-0.006255,0.988725,-0.026878,0.998831,-0.225926,0.325247,0.006009,0.620264,0.782258,1.000082,-1.117390,-0.681234,-0.008944,-0.030750,-0.984775,0.998746,0.289866,0.216209,0.002565,0.002115,0.004384,1.005639,0.009878,-0.038669,0.051098,0.027381,0.986824,0.998898,-0.329989,-0.224651,0.006046,-0.620111,-0.783869,0.999239,1.135260,0.654870,-0.003120,-0.988299,0.030508,0.999029,0.178160,-0.359015,0.021175,-0.783456,0.620464,0.999844,0.680354,-1.159714,-0.001676
0.140000,0.777457,-0.608590,0.999765,-0.680865,1.091407,-0.006263,0.986464,-0.023621,0.998891,-0.226291,0.326320,0.005998,0.609095,0.775448,0.999993,-1.116208,-0.680630,-0.008961,-0.027846,-0.982611,0.998772,0.290955,0.216528,0.002560,0.002214,0.003997,1.006149,0.009873,-0.038796,0.051015,0.024075,0.984575,0.998959,-0.331082,-0.224999,0.006043,-0.608764,-0.777323,0.999208,1.134109,0.654246,-0.003112,-0.986516,0.026911,0.999241,0.178454,-0.360226,0.021188,-0.776655,0.608872,0.999827,0.679769,-1.158612,-0.001675
0.150000,0.770651,-0.597683,0.999702,-0.680232,1.090033,-0.006271,0.984199,-0.020352,0.998951,-0.226691,0.327499,0.005984,0.597940,0.768645,0.999903,-1.114897,-0.679959,-0.008980,-0.024931,-0.980444,0.998797,0.292155,0.216881,0.002556,0.002312,0.003608,1.006659,0.009869,-0.038931,0.050923,0.020759,0.982324,0.999019,-0.332284,-0.225379,0.006039,-0.597429,-0.770784,0.999177,1.132830,0.653554,-0.003103,-0.984730,0.023303,0.999453,0.178780,-0.361559,0.021202,-0.769861,0.597292,0.999810,0.679120,-1.157389,-0.001675
0.160000,0.763853,-0.586790,0.999639,-0.679536,1.088523,-0.006279,0.981930,-0.017070,0.999011,-0.227124,0.328784,0.005969,0.586798,0.761849,0.999813,-1.113457,-0.679221,-0.009000,-0.022003,-0.978273,0.998823,0.293468,0.217267,0.002551,0.002411,0.003218,1.007168,0.009865,-0.039077,0.050821,0.017429,0.980068,0.999080,-0.333594,-0.225792,0.006034,-0.586108,-0.764252,0.999146,1.131425,0.652793,-0.003092,-0.982940,0.019680,0.999665,0.179139,-0.363015,0.021216,-0.763073,0.585725,0.999794,0.678405,-1.156044,-0.001674
0.170000,0.757061,-0.575913,0.999576,-0.678776,1.086879,-0.006288,0.979657,-0.013775,0.999071,-0.227592,0.330174,0.005953,0.575671,0.755061,0.999723,-1.111887,-0.678415,-0.009021,-0.019061,-0.976099,0.998848,0.294893,0.217687,0.002546,0.002510,0.002827,1.007675,0.009862,-0.039231,0.050709,0.014086,0.977808,0.999140,-0.335012,-0.226238,0.006028,-0.574801,-0.757728,0.999115,1.129894,0.651965,-0.003081,-0.981147,0.016042,0.999877,0.179531,-0.364592,0.021231,-0.756293,0.574172,0.999777,0.677625,-1.154577,-0.001673
0.180000,0.750277,-0.565053,0.999513,-0.677954,1.085101,-0.006298,0.977378,-0.010466,0.999130,-0.228095,0.331670,0.005936,0.564561,0.748281,0.999633,-1.110189,-0.677543,-0.009044,-0.016105,-0.973920,0.998874,0.296429,0.218140,0.002541,0.002608,0.002434,1.008182,0.009861,-0.039395,0.050587,0.010729,0.975543,0.999200,-0.336538,-0.226716,0.006021,-0.563510,-0.751213,0.999084,1.128235,0.651068,-0.003068,-0.979349,0.012388,1.000090,0.179955,-0.366292,0.021246,-0.749521,0.562634,0.999760,0.676779,-1.152987,-0.001672
0.190000,0.743502,-0.554212,0.999450,-0.677067,1.083188,-0.006308,0.975094,-0.007142,0.999189,-0.228632,0.333272,0.005917,0.553468,0.741510,0.999542,-1.108362,-0.676602,-0.009068,-0.013132,-0.971736,0.998899,0.298078,0.218627,0.002536,0.002707,0.002039,1.008687,0.009860,-0.039568,0.050455,0.007355,0.973273,0.999260,-0.338172,-0.227227,0.006013,-0.552237,-0.744707,0.999053,1.126451,0.650103,-0.003054,-0.977547,0.008716,1.000302,0.180412,-0.368113,0.021263,-0.742758,0.551113,0.999743,0.675869,-1.151275,-0.001670
0.200000,0.736736,-0.543390,0.999387,-0.676118,1.081141,-0.006319,0.972805,-0.003801,0.999249,-0.229203,0.334979,0.005896,0.542394,0.734749,0.999451,-1.106405,-0.675594,-0.009093,-0.010143,-0.969547,0.998924,0.299839,0.219148,0.002530,0.002805,0.001642,1.009191,0.009860,-0.039751,0.050312,0.003965,0.970998,0.999320,-0.339915,-0.227771,0.006005,-0.540981,-0.738211,0.999023,1.124539,0.649070,-0.003039,-0.975741,0.005025,1.000515,0.180902,-0.370057,0.021280,-0.736004,0.539609,0.999727,0.674894,-1.149442,-0.001669
0.210000,0.729980,-0.532589,0.999324,-0.675095,1.078942,-0.006330,0.970510,-0.000442,0.999307,-0.229810,0.336796,0.005874,0.531340,0.727999,0.999360,-1.104303,-0.674509,-0.009120,-0.007135,-0.967353,0.998950,0.301716,0.219705,0.002524,0.002904,0.001244,1.009693,0.009860,-0.039942,0.050158,0.000557,0.968718,0.999380,-0.341767,-0.228349,0.005995,-0.529746,-0.731726,0.998993,1.122484,0.647960,-0.003022,-0.973929,0.001314,1.000728,0.181431,-0.372125,0.021296,-0.729260,0.528124,0.999710,0.673843,-1.147467,-0.001667
0.220000,0.723235,-0.521811,0.999261,-0.673990,1.076577,-0.006340,0.968209,0.002936,0.999366,-0.230456,0.338725,0.005850,0.520308,0.721259,0.999269,-1.102038,-0.673334,-0.009148,-0.004108,-0.965153,0.998975,0.303715,0.220302,0.002517,0.003003,0.000843,1.010194,0.009862,-0.040139,0.049990,-0.002871,0.966431,0.999440,-0.343729,-0.228963,0.005984,-0.518532,-0.725253,0.998962,1.120267,0.646765,-0.003003,-0.972112,-0.002418,1.000941,0.182005,-0.374319,0.021310,-0.722527,0.516660,0.999693,0.672708,-1.145335,-0.001665
0.230000,0.716501,-0.511058,0.999197,-0.672801,1.074045,-0.006351,0.965901,0.006333,0.999424,-0.231139,0.340767,0.005824,0.509300,0.714532,0.999177,-1.099610,-0.672071,-0.009176,-0.001060,-0.962947,0.999000,0.305835,0.220940,0.002509,0.003101,0.000441,1.010693,0.009865,-0.040342,0.049808,-0.006318,0.964138,0.999500,-0.345803,-0.229613,0.005971,-0.507341,-0.718791,0.998933,1.117889,0.645483,-0.002982,-0.970289,-0.006173,1.001154,0.182625,-0.376638,0.021321,-0.715806,0.505218,0.999677,0.671488,-1.143043,-0.001662
0.240000,0.709779,-0.500331,0.999134,-0.671530,1.071346,-0.006361,0.963586,0.009751,0.999482,-0.231861,0.342921,0.005796,0.498317,0.707818,0.999085,-1.097020,-0.670719,-0.009206,0.002009,-0.960734,0.999025,0.308077,0.221618,0.002500,0.003200,0.000036,1.011190,0.009868,-0.040553,0.049611,-0.009787,0.961839,0.999560,-0.347987,-0.230299,0.005957,-0.496175,-0.712343,0.998903,1.115348,0.644117,-0.002958,-0.968460,-0.009951,1.001367,0.183290,-0.379083,0.021331,-0.709098,0.493800,0.999660,0.670182,-1.140593,-0.001658
