time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s]
0.000000,0.048287,0.002169,0.997135,-0.108925,0.127406,-0.002322,0.744295,0.343940,0.997689,-0.280539,0.060594,0.006865,0.707771,-0.386165,1.003408,0.027415,0.296878,0.002244,-0.706609,0.405504,1.002509,0.049772,-0.322170,0.007541,-0.767498,-0.346698,0.998413,0.396830,-0.026865,0.001200
0.020000,0.046108,0.004717,0.997089,-0.109012,0.127403,-0.002321,0.738683,0.345152,0.997827,-0.280625,0.060609,0.006869,0.708319,-0.380227,1.003453,0.027405,0.296953,0.002242,-0.705613,0.399060,1.002659,0.049790,-0.322271,0.007542,-0.759561,-0.347235,0.998437,0.396956,-0.026871,0.001200
0.040000,0.043926,0.007265,0.997043,-0.109274,0.127396,-0.002318,0.733069,0.346365,0.997964,-0.280882,0.060653,0.006879,0.708867,-0.374286,1.003498,0.027372,0.297178,0.002238,-0.704617,0.392611,1.002810,0.049842,-0.322575,0.007543,-0.751618,-0.347773,0.998461,0.397333,-0.026888,0.001200
0.060000,0.041736,0.009812,0.996996,-0.109710,0.127385,-0.002312,0.727447,0.347578,0.998102,-0.281311,0.060727,0.006895,0.709413,-0.368339,1.003543,0.027319,0.297552,0.002231,-0.703619,0.386155,1.002961,0.049929,-0.323082,0.007545,-0.743666,-0.348311,0.998485,0.397962,-0.026918,0.001200
0.080000,0.039536,0.012360,0.996950,-0.110321,0.127368,-0.002304,0.721815,0.348794,0.998240,-0.281912,0.060830,0.006919,0.709959,-0.362383,1.003587,0.027244,0.298077,0.002222,-0.702620,0.379687,1.003112,0.050050,-0.323791,0.007548,-0.735698,-0.348850,0.998509,0.398843,-0.026959,0.001199
0.100000,0.037322,0.014907,0.996904,-0.111106,0.127347,-0.002295,0.716169,0.350012,0.998379,-0.282684,0.060963,0.006949,0.710503,-0.356415,1.003631,0.027148,0.298751,0.002209,-0.701617,0.373202,1.003263,0.050206,-0.324704,0.007552,-0.727710,-0.349389,0.998533,0.399975,-0.027012,0.001198
0.120000,0.035090,0.017454,0.996858,-0.112131,0.127295,-0.002281,0.710506,0.351233,0.998518,-0.283669,0.061133,0.006987,0.711045,-0.350432,1.003675,0.027020,0.299601,0.002194,-0.700611,0.366697,1.003414,0.050409,-0.325862,0.007557,-0.719697,-0.349930,0.998557,0.401418,-0.027083,0.001197
0.140000,0.032835,0.019999,0.996813,-0.113462,0.127186,-0.002264,0.704821,0.352457,0.998658,-0.284907,0.061350,0.007036,0.711584,-0.344430,1.003719,0.026851,0.300650,0.002176,-0.699600,0.360166,1.003565,0.050670,-0.327310,0.007562,-0.711651,-0.350473,0.998581,0.403229,-0.027178,0.001195
0.160000,0.030550,0.022541,0.996768,-0.115098,0.127019,-0.002241,0.699108,0.353687,0.998799,-0.286398,0.061612,0.007095,0.712119,-0.338404,1.003762,0.026641,0.301899,0.002154,-0.698584,0.353603,1.003717,0.050989,-0.329047,0.007569,-0.703565,-0.351017,0.998604,0.405408,-0.027298,0.001192
0.180000,0.028229,0.025079,0.996723,-0.117040,0.126796,-0.002214,0.693363,0.354922,0.998942,-0.288144,0.061920,0.007165,0.712649,-0.332352,1.003805,0.026389,0.303348,0.002129,-0.697560,0.347002,1.003868,0.051367,-0.331073,0.007576,-0.695432,-0.351565,0.998628,0.407956,-0.027443,0.001187
