time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s]
0.000000,1.516110,-1.519729,0.998590,-0.076601,0.098240,0.012574,1.503720,0.001269,1.002885,-0.023124,0.002552,0.018458,1.514569,1.514886,1.000092,-0.076176,-0.116374,0.041868,-0.005215,-1.507623,0.999743,0.020142,0.010386,0.048633,0.027304,-0.009788,1.000345,-0.171345,0.062417,-0.000693,-0.005283,1.501872,1.001574,0.029017,-0.054585,0.042779,-1.523232,-1.507268,0.999391,0.087937,0.025881,0.006838,-1.510238,0.013196,0.995948,0.038768,-0.054302,0.033564,-1.528522,1.512884,1.000027,0.120581,-0.056606,0.008977
0.012500,1.515153,-1.518501,0.998747,-0.076609,0.098252,0.012576,1.503431,0.001300,1.003115,-0.023122,0.002551,0.018457,1.513617,1.513431,1.000615,-0.076183,-0.116383,0.041869,-0.004963,-1.507493,1.000351,0.020146,0.010388,0.048634,0.025162,-0.009008,1.000336,-0.171367,0.062425,-0.000692,-0.004920,1.501190,1.002109,0.029021,-0.054583,0.042778,-1.522133,-1.506945,0.999476,0.087950,0.025884,0.006839,-1.509754,0.012517,0.996367,0.038771,-0.054312,0.033568,-1.527015,1.512176,1.000140,0.120598,-0.056613,0.008977
0.025000,1.514195,-1.517272,0.998904,-0.076632,0.098289,0.012582,1.503142,0.001332,1.003346,-0.023116,0.002548,0.018453,1.512664,1.511976,1.001138,-0.076203,-0.116407,0.041871,-0.004711,-1.507363,1.000959,0.020157,0.010395,0.048637,0.023020,-0.008227,1.000328,-0.171434,0.062449,-0.000691,-0.004557,1.500508,1.002644,0.029032,-0.054576,0.042777,-1.521034,-1.506621,0.999562,0.087991,0.025893,0.006843,-1.509269,0.011838,0.996787,0.038781,-0.054341,0.033580,-1.525507,1.511468,1.000252,0.120651,-0.056635,0.008980
0.037500,1.513237,-1.516043,0.999061,-0.076672,0.098349,0.012591,1.502853,0.001364,1.003577,-0.023107,0.002543,0.018445,1.511712,1.510521,1.001662,-0.076237,-0.116449,0.041875,-0.004459,-1.507233,1.001567,0.020175,0.010406,0.048641,0.020876,-0.007446,1.000319,-0.171545,0.062488,-0.000688,-0.004194,1.499825,1.003178,0.029050,-0.054565,0.042774,-1.519933,-1.506297,0.999647,0.088059,0.025907,0.006850,-1.508784,0.011158,0.997207,0.038797,-0.054390,0.033600,-1.523998,1.510760,1.000364,0.120740,-0.056671,0.008984
0.050000,1.512278,-1.514813,0.999219,-0.076728,0.098433,0.012605,1.502564,0.001396,1.003807,-0.023094,0.002536,0.018435,1.510758,1.509065,1.002185,-0.076284,-0.116507,0.041880,-0.004207,-1.507103,1.002175,0.020200,0.010421,0.048648,0.018731,-0.006665,1.000311,-0.171701,0.062544,-0.000684,-0.003831,1.499143,1.003713,0.029076,-0.054549,0.042771,-1.518832,-1.505974,0.999733,0.088153,0.025927,0.006859,-1.508299,0.010478,0.997627,0.038819,-0.054458,0.033627,-1.522488,1.510052,1.000476,0.120863,-0.056722,0.008989
0.062500,1.511319,-1.513582,0.999377,-0.076799,0.098542,0.012622,1.502276,0.001428,1.004038,-0.023077,0.002527,0.018422,1.509804,1.507608,1.002709,-0.076344,-0.116581,0.041887,-0.003954,-1.506973,1.002783,0.020233,0.010441,0.048656,0.016583,-0.005883,1.000302,-0.171901,0.062616,-0.000679,-0.003467,1.498462,1.004248,0.029109,-0.054528,0.042766,-1.517729,-1.505649,0.999819,0.088275,0.025953,0.006870,-1.507814,0.009797,0.998048,0.038847,-0.054545,0.033663,-1.520976,1.509342,1.000589,0.121022,-0.056788,0.008996
0.075000,1.510358,-1.512350,0.999534,-0.076887,0.098675,0.012643,1.501987,0.001459,1.004268,-0.023057,0.002516,0.018406,1.508850,1.506150,1.003232,-0.076419,-0.116672,0.041895,-0.003701,-1.506842,1.003392,0.020272,0.010465,0.048667,0.014433,-0.005099,1.000294,-0.172145,0.062704,-0.000673,-0.003103,1.497780,1.004782,0.029149,-0.054503,0.042761,-1.516625,-1.505325,0.999905,0.088424,0.025984,0.006884,-1.507328,0.009114,0.998469,0.038882,-0.054652,0.033706,-1.519462,1.508632,1.000701,0.121216,-0.056867,0.009005
0.087500,1.509396,-1.511115,0.999693,-0.076990,0.098832,0.012667,1.501699,0.001490,1.004498,-0.023033,0.002504,0.018387,1.507894,1.504691,1.003756,-0.076506,-0.116780,0.041904,-0.003448,-1.506711,1.004000,0.020320,0.010494,0.048679,0.012280,-0.004315,1.000285,-0.172435,0.062808,-0.000666,-0.002738,1.497099,1.005317,0.029197,-0.054473,0.042754,-1.515519,-1.505000,0.999991,0.088600,0.026022,0.006901,-1.506842,0.008430,0.998890,0.038923,-0.054779,0.033757,-1.517946,1.507920,1.000814,0.121446,-0.056962,0.009015
0.100000,1.508433,-1.509879,0.999851,-0.077109,0.099013,0.012696,1.501411,0.001522,1.004727,-0.023006,0.002489,0.018365,1.506937,1.503231,1.004280,-0.076607,-0.116904,0.041915,-0.003193,-1.506580,1.004608,0.020374,0.010527,0.048693,0.010122,-0.003529,1.000277,-0.172768,0.062927,-0.000658,-0.002373,1.496419,1.005851,0.029252,-0.054438,0.042747,-1.514410,-1.504674,1.000077,0.088803,0.026065,0.006920,-1.506355,0.007745,0.999313,0.038971,-0.054924,0.033816,-1.516426,1.507208,1.000927,0.121711,-0.057071,0.009026
0.112500,1.507469,-1.508640,1.000010,-0.077244,0.099218,0.012728,1.501124,0.001553,1.004957,-0.022974,0.002472,0.018340,1.505979,1.501769,1.004804,-0.076722,-0.117045,0.041927,-0.002938,-1.506448,1.005217,0.020435,0.010564,0.048709,0.007960,-0.002742,1.000269,-0.173146,0.063063,-0.000649,-0.002007,1.495738,1.006385,0.029315,-0.054399,0.042738,-1.513298,-1.504348,1.000164,0.089032,0.026114,0.006942,-1.505867,0.007057,0.999736,0.039025,-0.055090,0.033883,-1.514903,1.506494,1.001040,0.122011,-0.057194,0.009040
