time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s]
0.000000,0.044845,0.008740,0.994253,-0.265634,0.090585,0.004639,0.754035,0.333062,1.005044,-0.390106,0.105321,0.001936,0.711426,-0.404228,0.995641,0.051462,0.392042,0.005747,-0.736463,0.411823,0.996646,0.067921,-0.411130,-0.016231,-0.767968,-0.354532,1.004109,0.565335,-0.079398,0.015680
0.020000,0.039532,0.010552,0.994346,-0.265715,0.090568,0.004641,0.746232,0.335169,1.005082,-0.390213,0.105359,0.001932,0.712455,-0.396386,0.995756,0.051440,0.392141,0.005747,-0.735104,0.403600,0.996321,0.067983,-0.411267,-0.016232,-0.756660,-0.356120,1.004423,0.565465,-0.079389,0.015678
0.040000,0.034216,0.012363,0.994438,-0.265959,0.090519,0.004644,0.738425,0.337277,1.005121,-0.390536,0.105474,0.001920,0.713483,-0.388541,0.995870,0.051372,0.392439,0.005746,-0.733743,0.395371,0.995996,0.068169,-0.411678,-0.016235,-0.745347,-0.357708,1.004736,0.565855,-0.079364,0.015671
0.060000,0.028893,0.014172,0.994531,-0.266366,0.090436,0.004649,0.730609,0.339388,1.005159,-0.391075,0.105666,0.001900,0.714509,-0.380687,0.995985,0.051259,0.392935,0.005744,-0.732376,0.387131,0.995672,0.068479,-0.412362,-0.016239,-0.734024,-0.359295,1.005050,0.566505,-0.079323,0.015660
0.080000,0.023560,0.015980,0.994624,-0.266935,0.090321,0.004657,0.722780,0.341504,1.005197,-0.391829,0.105934,0.001871,0.715533,-0.372822,0.996100,0.051100,0.393629,0.005742,-0.731003,0.378875,0.995347,0.068912,-0.413320,-0.016246,-0.722685,-0.360880,1.005363,0.567415,-0.079264,0.015645
0.100000,0.018214,0.017785,0.994718,-0.267667,0.090172,0.004667,0.714935,0.343626,1.005234,-0.392798,0.106279,0.001835,0.716553,-0.364941,0.996215,0.050897,0.394522,0.005739,-0.729619,0.370596,0.995022,0.069469,-0.414551,-0.016255,-0.711326,-0.362465,1.005675,0.568585,-0.079190,0.015626
0.120000,0.012852,0.019586,0.994811,-0.268593,0.089967,0.004679,0.707067,0.345756,1.005270,-0.394024,0.106728,0.001789,0.717568,-0.357039,0.996330,0.050625,0.395648,0.005734,-0.728223,0.362290,0.994697,0.070201,-0.416117,-0.016262,-0.699940,-0.364048,1.005988,0.570063,-0.079082,0.015599
0.140000,0.007469,0.021383,0.994905,-0.269743,0.089681,0.004691,0.699172,0.347896,1.005305,-0.395549,0.107308,0.001732,0.718577,-0.349113,0.996444,0.050261,0.397041,0.005725,-0.726810,0.353949,0.994371,0.071159,-0.418078,-0.016266,-0.688521,-0.365628,1.006299,0.571896,-0.078924,0.015563
0.160000,0.002061,0.023173,0.994999,-0.271117,0.089314,0.004704,0.691243,0.350049,1.005339,-0.397372,0.108020,0.001664,0.719578,-0.341156,0.996559,0.049805,0.398702,0.005713,-0.725375,0.345565,0.994046,0.072344,-0.420434,-0.016265,-0.677062,-0.367204,1.006610,0.574084,-0.078717,0.015517
0.180000,-0.003377,0.024955,0.995093,-0.272716,0.088867,0.004718,0.683275,0.352218,1.005372,-0.399495,0.108863,0.001585,0.720569,-0.333163,0.996673,0.049257,0.400630,0.005697,-0.723914,0.337129,0.993721,0.073754,-0.423185,-0.016261,-0.665555,-0.368776,1.006920,0.576628,-0.078460,0.015461
0.200000,-0.008850,0.026727,0.995187,-0.274540,0.088339,0.004732,0.675261,0.354405,1.005403,-0.401916,0.109837,0.001495,0.721548,-0.325129,0.996787,0.048618,0.402825,0.005677,-0.722423,0.328635,0.993396,0.075391,-0.426331,-0.016252,-0.653994,-0.370342,1.007229,0.579527,-0.078153,0.015396
0.220000,-0.014360,0.028488,0.995282,-0.276595,0.087702,0.004748,0.667196,0.356612,1.005432,-0.404640,0.110954,0.001395,0.722513,-0.317048,0.996900,0.047870,0.405275,0.005653,-0.720897,0.320073,0.993071,0.077286,-0.429877,-0.016234,-0.642372,-0.371902,1.007536,0.582768,-0.077777,0.015317
0.240000,-0.019915,0.030234,0.995377,-0.278890,0.086928,0.004764,0.659073,0.358844,1.005459,-0.407672,0.112223,0.001288,0.723462,-0.308916,0.997013,0.046995,0.407968,0.005624,-0.719330,0.311437,0.992746,0.079472,-0.433827,-0.016203,-0.630681,-0.373453,1.007841,0.586336,-0.077312,0.015223
0.260000,-0.025518,0.031964,0.995473,-0.281425,0.086016,0.004781,0.650887,0.361102,1.005483,-0.411012,0.113645,0.001172,0.724392,-0.300728,0.997125,0.045994,0.410902,0.005590,-0.717716,0.302717,0.992423,0.081948,-0.438180,-0.016157,-0.618916,-0.374994,1.008145,0.590233,-0.076757,0.015114
0.280000,-0.031174,0.033674,0.995569,-0.284200,0.084968,0.004799,0.642631,0.363390,1.005505,-0.414660,0.115220,0.001048,0.725301,-0.292479,0.997236,0.044867,0.414079,0.005551,-0.716050,0.293907,0.992100,0.084714,-0.442937,-0.016097,-0.607070,-0.376523,1.008446,0.594458,-0.076113,0.014989
0.300000,-0.036887,0.035362,0.995665,-0.287214,0.083782,0.004819,0.634299,0.365712,1.005525,-0.418615,0.116948,0.000916,0.726186,-0.284163,0.997347,0.043614,0.417498,0.005507,-0.714326,0.284997,0.991779,0.087771,-0.448098,-0.016023,-0.595136,-0.378038,1.008744,0.599011,-0.075379,0.014849
0.320000,-0.042664,0.037024,0.995761,-0.290451,0.082435,0.004839,0.625884,0.368069,1.005542,-0.422843,0.118827,0.000778,0.727044,-0.275778,0.997457,0.042215,0.421107,0.005458,-0.712537,0.275981,0.991459,0.091130,-0.453628,-0.015929,-0.583108,-0.379537,1.009039,0.603843,-0.074545,0.014690
0.340000,-0.048507,0.038658,0.995858,-0.293893,0.080905,0.004859,0.617383,0.370466,1.005556,-0.427310,0.120855,0.000636,0.727873,-0.267318,0.997565,0.040653,0.424857,0.005405,-0.710678,0.266850,0.991142,0.094800,-0.459495,-0.015811,-0.570980,-0.381019,1.009331,0.608906,-0.073602,0.014510
0.360000,-0.054421,0.040259,0.995956,-0.297540,0.079190,0.004879,0.608791,0.372905,1.005567,-0.432015,0.123032,0.000489,0.728669,-0.258782,0.997673,0.038927,0.428746,0.005346,-0.708743,0.257599,0.990827,0.098782,-0.465697,-0.015667,-0.558750,-0.382481,1.009620,0.614199,-0.072549,0.014310
0.380000,-0.060410,0.041824,0.996053,-0.301392,0.077292,0.004900,0.600101,0.375388,1.005576,-0.436958,0.125357,0.000339,0.729429,-0.250167,0.997779,0.037038,0.432775,0.005282,-0.706725,0.248220,0.990515,0.103076,-0.472236,-0.015498,-0.546411,-0.383920,1.009904,0.619724,-0.071386,0.014089
0.400000,-0.066478,0.043350,0.996152,-0.305450,0.075209,0.004921,0.591311,0.377920,1.005581,-0.442139,0.127831,0.000184,0.730150,-0.241470,0.997884,0.034984,0.436943,0.005213,-0.704618,0.238707,0.990207,0.107682,-0.479110,-0.015304,-0.533959,-0.385335,1.010183,0.625479,-0.070112,0.013847
0.420000,-0.072629,0.044831,0.996250,-0.309680,0.072928,0.004942,0.582414,0.380502,1.005583,-0.447514,0.130435,0.000026,0.730828,-0.232689,0.997987,0.032756,0.441194,0.005139,-0.702416,0.229054,0.989904,0.112585,-0.486261,-0.015081,-0.521391,-0.386724,1.010457,0.631399,-0.068725,0.013584
0.440000,-0.078866,0.046265,0.996349,-0.314050,0.070432,0.004962,0.573409,0.383138,1.005582,-0.453038,0.133147,-0.000133,0.731459,-0.223823,0.998089,0.030343,0.445470,0.005061,-0.700113,0.219255,0.989604,0.117771,-0.493629,-0.014828,-0.508703,-0.388083,1.010726,0.637419,-0.067220,0.013298
0.460000,-0.085192,0.047647,0.996449,-0.318561,0.067721,0.004981,0.564292,0.385829,1.005578,-0.458712,0.135970,-0.000293,0.732040,-0.214870,0.998190,0.027745,0.449772,0.004978,-0.697703,0.209307,0.989311,0.123239,-0.501214,-0.014545,-0.495893,-0.389412,1.010989,0.643538,-0.065596,0.012990
0.480000,-0.091609,0.048973,0.996549,-0.323212,0.064797,0.004999,0.555060,0.388578,1.005570,-0.464534,0.138902,-0.000454,0.732567,-0.205831,0.998289,0.024962,0.454100,0.004891,-0.695181,0.199205,0.989023,0.128990,-0.509015,-0.014230,-0.482961,-0.390706,1.011246,0.649758,-0.063854,0.012659
