time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s]
0.000000,0.050265,0.016479,0.992828,-0.213115,0.094078,0.091620,0.775383,0.338166,0.999027,-0.531385,0.127595,0.005046,0.727480,-0.420429,0.995336,-0.037218,0.415351,0.005747,-0.747092,0.400294,1.011463,0.205931,-0.433898,-0.308020,-0.785720,-0.364468,0.999380,0.584213,0.048639,-0.006942
0.020000,0.046002,0.018360,0.994661,-0.213207,0.094039,0.091636,0.764754,0.340718,0.999127,-0.531532,0.127618,0.005046,0.726735,-0.412121,0.995451,-0.037268,0.415493,0.005748,-0.742973,0.391615,1.005302,0.206032,-0.434003,-0.308040,-0.774034,-0.363495,0.999241,0.584377,0.048663,-0.006942
0.040000,0.041736,0.020240,0.996494,-0.213480,0.093924,0.091682,0.754119,0.343271,0.999228,-0.531974,0.127687,0.005045,0.725989,-0.403808,0.995566,-0.037419,0.415919,0.005751,-0.738849,0.382932,0.999141,0.206334,-0.434317,-0.308100,-0.762342,-0.362521,0.999103,0.584871,0.048735,-0.006942
0.060000,0.037462,0.022117,0.998328,-0.213935,0.093731,0.091760,0.743473,0.345826,0.999329,-0.532711,0.127803,0.005045,0.725238,-0.395483,0.995681,-0.037669,0.416629,0.005757,-0.734718,0.374241,0.992978,0.206838,-0.434841,-0.308199,-0.750637,-0.361545,0.998964,0.585693,0.048855,-0.006941
0.080000,0.033177,0.023989,1.000165,-0.214573,0.093461,0.091869,0.732809,0.348384,0.999430,-0.533743,0.127964,0.005045,0.724481,-0.387141,0.995796,-0.038019,0.417623,0.005766,-0.730574,0.365537,0.986813,0.207543,-0.435575,-0.308338,-0.738912,-0.360566,0.998825,0.586845,0.049023,-0.006939
0.100000,0.028878,0.025855,1.002003,-0.215392,0.093114,0.092009,0.722121,0.350945,0.999531,-0.535069,0.128171,0.005045,0.723716,-0.378776,0.995912,-0.038470,0.418900,0.005777,-0.726415,0.356817,0.980644,0.208450,-0.436518,-0.308517,-0.727161,-0.359584,0.998686,0.588325,0.049239,-0.006937
0.120000,0.024560,0.027712,1.003845,-0.216441,0.092637,0.092182,0.711404,0.353511,0.999632,-0.536744,0.128424,0.005044,0.722942,-0.370382,0.996027,-0.039054,0.420521,0.005788,-0.722235,0.348075,0.974472,0.209621,-0.437716,-0.308701,-0.715377,-0.358596,0.998547,0.590194,0.049519,-0.006934
0.140000,0.020218,0.029559,1.005691,-0.217766,0.091978,0.092388,0.700649,0.356082,0.999733,-0.538822,0.128722,0.005042,0.722153,-0.361952,0.996143,-0.039806,0.422544,0.005800,-0.718028,0.339306,0.968296,0.211119,-0.439211,-0.308858,-0.703550,-0.357602,0.998409,0.592510,0.049878,-0.006929
0.160000,0.015848,0.031390,1.007541,-0.219367,0.091136,0.092629,0.689848,0.358660,0.999834,-0.541303,0.129065,0.005040,0.721348,-0.353478,0.996259,-0.040725,0.424970,0.005812,-0.713788,0.330504,0.962118,0.212943,-0.441004,-0.308987,-0.691673,-0.356601,0.998270,0.595274,0.050317,-0.006921
0.180000,0.011442,0.033203,1.009396,-0.221244,0.090112,0.092903,0.678994,0.361245,0.999934,-0.544187,0.129453,0.005036,0.720523,-0.344951,0.996376,-0.041813,0.427797,0.005824,-0.709508,0.321664,0.955937,0.215093,-0.443094,-0.309087,-0.679737,-0.355589,0.998132,0.598484,0.050835,-0.006911
