time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s],drone9_posx[m],drone9_posy[m],drone9_posz[m],drone9_velx[m/s],drone9_vely[m/s],drone9_velz[m/s]
0.000000,1.131172,-2.032839,0.994010,-0.277411,0.306128,0.193779,1.101652,-1.007206,0.998000,0.006463,0.084641,0.171834,1.088670,-0.002769,0.994000,0.097709,0.015463,0.179801,1.103725,1.010928,0.997885,-0.004281,-0.111366,0.175227,1.132673,2.032204,0.994046,-0.276932,-0.307903,0.188545,-1.132577,-2.032300,0.994270,0.278150,0.313006,0.188569,-1.103630,-1.010965,0.997896,0.004895,0.110291,0.177972,-1.088855,0.002865,0.994080,-0.094690,-0.013483,0.178435,-1.101639,1.007059,0.998178,-0.002929,-0.090422,0.171383,-1.131386,2.032895,0.994002,0.276994,-0.313690,0.190051
0.020000,1.125624,-2.026716,0.997886,-0.277478,0.306204,0.193787,1.101781,-1.005513,1.001436,0.006459,0.084657,0.171837,1.090625,-0.002460,0.997596,0.097723,0.015468,0.179810,1.103639,1.008700,1.001389,-0.004290,-0.111390,0.175230,1.127133,2.026045,0.997817,-0.277002,-0.307978,0.188554,-1.127014,-2.026040,0.998042,0.278220,0.313081,0.188577,-1.103532,-1.008759,1.001456,0.004903,0.110316,0.177975,-1.090749,0.002595,0.997648,-0.094704,-0.013489,0.178443,-1.101698,1.005251,1.001605,-0.002925,-0.090439,0.171385,-1.125846,2.026620,0.997803,0.277061,-0.313767,0.190060
0.040000,1.120072,-2.020590,1.001762,-0.277679,0.306433,0.193813,1.101910,-1.003819,1.004873,0.006446,0.084708,0.171845,1.092579,-0.002150,1.001192,0.097764,0.015485,0.179836,1.103553,1.006472,1.004894,-0.004315,-0.111462,0.175239,1.121591,2.019884,1.001588,-0.277212,-0.308204,0.188580,-1.121448,-2.019776,1.001813,0.278429,0.313307,0.188602,-1.103434,-1.006552,1.005015,0.004927,0.110388,0.177983,-1.092643,0.002325,1.001217,-0.094744,-0.013506,0.178468,-1.101756,1.003442,1.005033,-0.002913,-0.090488,0.171392,-1.120303,2.020343,1.001604,0.277263,-0.313996,0.190086
0.060000,1.114516,-2.014458,1.005639,-0.278013,0.306816,0.193857,1.102039,-1.002124,1.008310,0.006425,0.084792,0.171859,1.094535,-0.001840,1.004789,0.097834,0.015512,0.179879,1.103466,1.004241,1.008399,-0.004357,-0.111584,0.175253,1.116044,2.013716,1.005360,-0.277562,-0.308580,0.188623,-1.115876,-2.013507,1.005586,0.278778,0.313684,0.188642,-1.103335,-1.004343,1.008575,0.004968,0.110510,0.177998,-1.094539,0.002055,1.004787,-0.094811,-0.013534,0.178511,-1.101814,1.001631,1.008461,-0.002892,-0.090571,0.171404,-1.114754,2.014059,1.005406,0.277600,-0.314379,0.190129
0.080000,1.108951,-2.008316,1.009516,-0.278482,0.307351,0.193917,1.102167,-1.000427,1.011748,0.006396,0.084909,0.171878,1.096493,-0.001530,1.008387,0.097930,0.015551,0.179939,1.103378,1.002008,1.011904,-0.004415,-0.111753,0.175274,1.110488,2.007540,1.009133,-0.278052,-0.309106,0.188683,-1.110295,-2.007228,1.009359,0.279266,0.314211,0.188699,-1.103235,-1.002131,1.012135,0.005025,0.110680,0.178018,-1.096436,0.001784,1.008358,-0.094906,-0.013575,0.178570,-1.101872,0.999819,1.011889,-0.002863,-0.090686,0.171421,-1.109198,2.007767,1.009210,0.278072,-0.314915,0.190190
0.100000,1.103375,-2.002163,1.013395,-0.279085,0.308039,0.193995,1.102294,-0.998728,1.015185,0.006358,0.085060,0.171902,1.098453,-0.001218,1.011987,0.098055,0.015601,0.180017,1.103289,0.999771,1.015410,-0.004490,-0.111971,0.175301,1.104921,2.001351,1.012908,-0.278682,-0.309783,0.188760,-1.104704,-2.000937,1.013134,0.279894,0.314890,0.188772,-1.103134,-0.999915,1.015696,0.005098,0.110898,0.178045,-1.098335,0.001512,1.011930,-0.095027,-0.013626,0.178646,-1.101929,0.998003,1.015318,-0.002826,-0.090835,0.171442,-1.103630,2.001462,1.013014,0.278679,-0.315604,0.190268
0.120000,1.097786,-1.995993,1.017276,-0.279858,0.308922,0.194083,1.102421,-0.997025,1.018624,0.006311,0.085239,0.171921,1.100415,-0.000905,1.015588,0.098198,0.015664,0.180103,1.103199,0.997529,1.018916,-0.004584,-0.112235,0.175321,1.099340,1.995147,1.016684,-0.279491,-0.310650,0.188848,-1.099099,-1.994631,1.016910,0.280701,0.315759,0.188855,-1.103031,-0.997695,1.019257,0.005190,0.111162,0.178064,-1.100237,0.001239,1.015504,-0.095167,-0.013692,0.178730,-1.101985,0.996185,1.018747,-0.002780,-0.091010,0.171456,-1.098049,1.995141,1.016820,0.279457,-0.316487,0.190357
0.140000,1.092180,-1.989804,1.021159,-0.280837,0.310043,0.194172,1.102547,-0.995318,1.022062,0.006255,0.085440,0.171922,1.102381,-0.000591,1.019191,0.098353,0.015743,0.180187,1.103106,0.995281,1.022422,-0.004700,-0.112540,0.175324,1.093740,1.988923,1.020462,-0.280518,-0.311750,0.188939,-1.093475,-1.988305,1.020688,0.281724,0.316858,0.188939,-1.102926,-0.995469,1.022818,0.005302,0.111469,0.178065,-1.102142,0.000964,1.019079,-0.095318,-0.013776,0.178813,-1.102040,0.994363,1.022176,-0.002727,-0.091204,0.171452,-1.092451,1.988801,1.020628,0.280443,-0.317605,0.190449
0.160000,1.086551,-1.983590,1.025043,-0.282023,0.311401,0.194263,1.102671,-0.993607,1.025500,0.006190,0.085665,0.171905,1.104349,-0.000276,1.022796,0.098519,0.015838,0.180271,1.103011,0.993027,1.025929,-0.004838,-0.112888,0.175309,1.088117,1.982675,1.024241,-0.281764,-0.313081,0.189034,-1.087828,-1.981955,1.024468,0.282965,0.318188,0.189025,-1.102819,-0.993236,1.026379,0.005434,0.111818,0.178047,-1.104050,0.000687,1.022656,-0.095480,-0.013878,0.178895,-1.102094,0.992537,1.025605,-0.002666,-0.091418,0.171429,-1.086830,1.982435,1.024438,0.281637,-0.318959,0.190544
0.180000,1.080897,-1.977346,1.028929,-0.283415,0.312997,0.194357,1.102794,-0.991891,1.028938,0.006115,0.085912,0.171871,1.106322,0.000042,1.026402,0.098696,0.015949,0.180353,1.102912,0.990766,1.029435,-0.004997,-0.113278,0.175276,1.082468,1.976399,1.028023,-0.283229,-0.314644,0.189133,-1.082155,-1.975576,1.028249,0.284423,0.319749,0.189113,-1.102708,-0.990996,1.029940,0.005588,0.112210,0.178009,-1.105961,0.000409,1.026235,-0.095653,-0.013997,0.178976,-1.102147,0.990706,1.029033,-0.002598,-0.091651,0.171387,-1.081184,1.976041,1.028250,0.283040,-0.320547,0.190643
