time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s]
0.000000,1.134023,-2.030836,1.005434,-0.270030,0.269407,-0.022610,1.097415,-1.007089,1.004792,-0.018827,0.076056,-0.002036,1.115794,-0.008293,1.007123,0.017412,0.038991,0.002104,1.106439,0.997115,1.005553,-0.052882,-0.038432,-0.006328,1.140004,2.027442,1.005213,-0.294378,-0.259304,-0.022142,-1.123241,-2.035262,1.005489,0.190748,0.322806,-0.023417,-1.094515,-1.022351,1.006148,-0.001930,0.137583,-0.018853,-1.094381,-0.010593,1.005859,-0.020302,0.154382,-0.023882,-1.109803,0.997452,1.005808,0.160825,0.010154,-0.021834
0.020000,1.128622,-2.025447,1.004981,-0.270095,0.269477,-0.022626,1.097039,-1.005568,1.004751,-0.018830,0.076077,-0.002049,1.116142,-0.007513,1.007165,0.017383,0.039008,0.002090,1.105381,0.996346,1.005426,-0.052903,-0.038433,-0.006343,1.134115,2.022256,1.004770,-0.294454,-0.259368,-0.022157,-1.119426,-2.028805,1.005020,0.190798,0.322883,-0.023433,-1.094554,-1.019599,1.005771,-0.001928,0.137630,-0.018870,-1.094787,-0.007506,1.005381,-0.020301,0.154397,-0.023898,-1.106587,0.997655,1.005371,0.160848,0.010148,-0.021851
0.040000,1.123219,-2.020056,1.004528,-0.270290,0.269688,-0.022673,1.096662,-1.004046,1.004710,-0.018840,0.076140,-0.002091,1.116489,-0.006732,1.007206,0.017295,0.039057,0.002049,1.104323,0.995578,1.005299,-0.052967,-0.038436,-0.006389,1.128224,2.017067,1.004326,-0.294685,-0.259558,-0.022204,-1.115609,-2.022346,1.004551,0.190951,0.323116,-0.023479,-1.094592,-1.016845,1.005393,-0.001925,0.137769,-0.018921,-1.095193,-0.004417,1.004903,-0.020298,0.154442,-0.023947,-1.103369,0.997858,1.004934,0.160920,0.010129,-0.021899
0.060000,1.117810,-2.014659,1.004074,-0.270614,0.270040,-0.022752,1.096285,-1.002522,1.004668,-0.018855,0.076245,-0.002159,1.116833,-0.005950,1.007247,0.017149,0.039140,0.001981,1.103262,0.994809,1.005171,-0.053073,-0.038442,-0.006465,1.122327,2.011873,1.003881,-0.295069,-0.259876,-0.022281,-1.111787,-2.015880,1.004081,0.191204,0.323503,-0.023557,-1.094631,-1.014088,1.005014,-0.001918,0.138002,-0.019005,-1.095599,-0.001328,1.004423,-0.020293,0.154517,-0.024029,-1.100149,0.998060,1.004495,0.161039,0.010098,-0.021980
0.080000,1.112393,-2.009254,1.003618,-0.271067,0.270532,-0.022863,1.095908,-1.000996,1.004624,-0.018877,0.076392,-0.002256,1.117174,-0.005166,1.007285,0.016944,0.039256,0.001885,1.102200,0.994040,1.005040,-0.053221,-0.038449,-0.006572,1.116421,2.006671,1.003435,-0.295606,-0.260320,-0.022388,-1.107960,-2.009404,1.003609,0.191559,0.324045,-0.023666,-1.094669,-1.011325,1.004632,-0.001910,0.138328,-0.019124,-1.096005,0.001764,1.003941,-0.020286,0.154622,-0.024143,-1.096927,0.998262,1.004054,0.161206,0.010054,-0.022094
0.100000,1.106966,-2.003837,1.003159,-0.271651,0.271165,-0.023006,1.095530,-0.999466,1.004577,-0.018906,0.076581,-0.002379,1.117510,-0.004380,1.007322,0.016681,0.039405,0.001763,1.101133,0.993271,1.004908,-0.053412,-0.038458,-0.006710,1.110502,2.001459,1.002986,-0.296297,-0.260892,-0.022527,-1.104124,-2.002917,1.003134,0.192015,0.324742,-0.023807,-1.094707,-1.008554,1.004248,-0.001898,0.138746,-0.019276,-1.096411,0.004857,1.003457,-0.020277,0.154756,-0.024290,-1.093701,0.998462,1.003611,0.161421,0.009998,-0.022240
0.120000,1.101526,-1.998406,1.002698,-0.272393,0.271972,-0.023181,1.095152,-0.997932,1.004528,-0.018945,0.076826,-0.002537,1.117841,-0.003590,1.007356,0.016344,0.039596,0.001605,1.100063,0.992502,1.004772,-0.053661,-0.038472,-0.006885,1.104567,1.996234,1.002533,-0.297178,-0.261619,-0.022697,-1.100279,-1.996414,1.002656,0.192596,0.325627,-0.023979,-1.094745,-1.005774,1.003861,-0.001884,0.139293,-0.019465,-1.096816,0.007954,1.002970,-0.020263,0.154920,-0.024473,-1.090470,0.998662,1.003165,0.161692,0.009924,-0.022422
0.140000,1.096069,-1.992957,1.002232,-0.273321,0.272985,-0.023390,1.094772,-0.996393,1.004475,-0.018998,0.077143,-0.002737,1.118164,-0.002796,1.007386,0.015918,0.039838,0.001406,1.098986,0.991732,1.004632,-0.053982,-0.038492,-0.007106,1.098613,1.990993,1.002077,-0.298283,-0.262530,-0.022899,-1.096420,-1.989890,1.002175,0.193323,0.326732,-0.024185,-1.094783,-1.002981,1.003469,-0.001865,0.140002,-0.019696,-1.097221,0.011054,1.002478,-0.020241,0.155111,-0.024695,-1.087233,0.998859,1.002714,0.162027,0.009825,-0.022643
0.160000,1.090592,-1.987485,1.001762,-0.274437,0.274206,-0.023633,1.094392,-0.994846,1.004418,-0.019066,0.077532,-0.002977,1.118477,-0.001996,1.007412,0.015405,0.040130,0.001164,1.097903,0.990962,1.004487,-0.054377,-0.038519,-0.007373,1.092635,1.985732,1.001617,-0.299613,-0.263625,-0.023134,-1.092545,-1.983343,1.001689,0.194198,0.328058,-0.024423,-1.094820,-1.000173,1.003073,-0.001843,0.140874,-0.019969,-1.097626,0.014159,1.001982,-0.020211,0.155329,-0.024956,-1.083988,0.999054,1.002259,0.162426,0.009702,-0.022903
0.180000,1.085091,-1.981987,1.001286,-0.275740,0.275634,-0.023909,1.094009,-0.993291,1.004356,-0.019149,0.077991,-0.003259,1.118779,-0.001190,1.007432,0.014802,0.040473,0.000881,1.096811,0.990191,1.004337,-0.054845,-0.038552,-0.007685,1.086627,1.980447,1.001152,-0.301169,-0.264904,-0.023400,-1.088651,-1.976767,1.001197,0.195220,0.329605,-0.024695,-1.094856,-0.997345,1.002670,-0.001816,0.141908,-0.020282,-1.098029,0.017268,1.001480,-0.020174,0.155574,-0.025255,-1.080735,0.999247,1.001798,0.162890,0.009556,-0.023202
