time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s],drone9_posx[m],drone9_posy[m],drone9_posz[m],drone9_velx[m/s],drone9_vely[m/s],drone9_velz[m/s]
0.000000,1.500350,-0.993093,0.979561,0.076197,-0.030118,0.081734,0.761229,-0.992922,0.973149,-0.113027,-0.094426,0.148644,0.001539,-0.995332,0.969138,-0.085877,-0.066744,0.156307,-0.738728,-1.011428,0.968444,-0.088663,0.101840,0.239402,-1.496076,-1.000293,0.972482,-0.101074,-0.069630,0.125981,1.495571,1.000112,0.989080,0.087761,0.026064,0.057175,0.740240,0.995350,0.981954,0.135760,0.243826,0.063200,0.003160,0.997103,0.987872,-0.023286,0.018432,0.109499,-0.749558,0.992308,0.989469,-0.142721,0.075856,0.023893,-1.504267,0.990938,0.982423,-0.088296,0.074236,0.078656
0.020000,1.501874,-0.993696,0.981196,0.076196,-0.030132,0.081775,0.758968,-0.994811,0.976122,-0.113050,-0.094440,0.148698,-0.000179,-0.996667,0.972264,-0.085880,-0.066753,0.156370,-0.740501,-1.009391,0.973233,-0.088686,0.101863,0.239466,-1.498098,-1.001685,0.975002,-0.101082,-0.069630,0.126036,1.497326,1.000633,0.990224,0.087769,0.026063,0.057196,0.742956,1.000227,0.983218,0.135779,0.243835,0.063236,0.002694,0.997471,0.990062,-0.023292,0.018438,0.109524,-0.752413,0.993826,0.989947,-0.142721,0.075871,0.023914,-1.506033,0.992422,0.983996,-0.088287,0.074254,0.078691
0.040000,1.503398,-0.994299,0.982833,0.076193,-0.030172,0.081898,0.756707,-0.996700,0.979098,-0.113118,-0.094481,0.148862,-0.001896,-0.998002,0.975394,-0.085889,-0.066780,0.156558,-0.742275,-1.007353,0.978024,-0.088752,0.101933,0.239659,-1.500120,-1.003078,0.977524,-0.101104,-0.069627,0.126202,1.499082,1.001154,0.991369,0.087795,0.026062,0.057262,0.745672,1.005103,0.984484,0.135837,0.243862,0.063344,0.002228,0.997840,0.992254,-0.023311,0.018455,0.109597,-0.755267,0.995343,0.990426,-0.142723,0.075917,0.023977,-1.507799,0.993908,0.985571,-0.088260,0.074308,0.078797
0.060000,1.504922,-0.994903,0.984472,0.076187,-0.030240,0.082102,0.754443,-0.998590,0.982077,-0.113231,-0.094551,0.149134,-0.003614,-0.999338,0.978528,-0.085905,-0.066826,0.156872,-0.744051,-1.005313,0.982820,-0.088864,0.102048,0.239980,-1.502142,-1.004470,0.980051,-0.101142,-0.069623,0.126477,1.500838,1.001675,0.992515,0.087837,0.026059,0.057371,0.748389,1.009981,0.985752,0.135934,0.243908,0.063524,0.001762,0.998210,0.994447,-0.023343,0.018482,0.109718,-0.758121,0.996862,0.990906,-0.142726,0.075992,0.024083,-1.509563,0.995395,0.987148,-0.088215,0.074397,0.078972
0.080000,1.506446,-0.995508,0.986117,0.076179,-0.030335,0.082388,0.752177,-1.000482,0.985064,-0.113389,-0.094648,0.149516,-0.005333,-1.000676,0.981669,-0.085926,-0.066889,0.157312,-0.745830,-1.003271,0.987624,-0.089020,0.102210,0.240429,-1.504165,-1.005863,0.982584,-0.101194,-0.069617,0.126863,1.502595,1.002197,0.993664,0.087896,0.026056,0.057524,0.751109,1.014860,0.987025,0.136069,0.243971,0.063777,0.001294,0.998580,0.996643,-0.023387,0.018521,0.109888,-0.760976,0.998383,0.991389,-0.142731,0.076098,0.024231,-1.511327,0.996884,0.988730,-0.088153,0.074522,0.079218
0.100000,1.507969,-0.996116,0.987768,0.076169,-0.030457,0.082756,0.749907,-1.002376,0.988059,-0.113593,-0.094774,0.150006,-0.007051,-1.002014,0.984821,-0.085954,-0.066971,0.157877,-0.747612,-1.001224,0.992438,-0.089221,0.102418,0.241007,-1.506190,-1.007255,0.985126,-0.101261,-0.069610,0.127359,1.504354,1.002718,0.994816,0.087972,0.026052,0.057721,0.753832,1.019740,0.988304,0.136243,0.244053,0.064101,0.000826,0.998951,0.998842,-0.023444,0.018571,0.110107,-0.763831,0.999907,0.991876,-0.142737,0.076235,0.024420,-1.513089,0.998376,0.990317,-0.088073,0.074683,0.079534
0.120000,1.509492,-0.996727,0.989428,0.076141,-0.030614,0.083230,0.747633,-1.004273,0.991065,-0.113848,-0.094924,0.150633,-0.008771,-1.003355,0.987985,-0.085978,-0.067067,0.158603,-0.749399,-0.999173,0.997265,-0.089471,0.102679,0.241737,-1.508216,-1.008647,0.987680,-0.101332,-0.069587,0.127995,1.506114,1.003239,0.995973,0.088057,0.026040,0.057972,0.756559,1.024622,0.989590,0.136451,0.244115,0.064520,0.000356,0.999323,1.001047,-0.023514,0.018632,0.110379,-0.766685,1.001433,0.992367,-0.142718,0.076401,0.024668,-1.514850,0.999872,0.991912,-0.087950,0.074883,0.079939
0.140000,1.511014,-0.997341,0.991099,0.076077,-0.030812,0.083833,0.745353,-1.006173,0.994085,-0.114161,-0.095095,0.151423,-0.010490,-1.004697,0.991166,-0.085989,-0.067175,0.159524,-0.751192,-0.997117,1.002109,-0.089776,0.102999,0.242642,-1.510243,-1.010038,0.990247,-0.101396,-0.069535,0.128801,1.507876,1.003759,0.997135,0.088142,0.026014,0.058288,0.759291,1.029504,0.990886,0.136686,0.244121,0.065056,-0.000115,0.999696,1.003258,-0.023597,0.018704,0.110709,-0.769539,1.002963,0.992863,-0.142647,0.076598,0.024990,-1.516607,1.001372,0.993516,-0.087759,0.075128,0.080452
0.160000,1.512535,-0.997960,0.992782,0.075978,-0.031051,0.084567,0.743066,-1.008077,0.997123,-0.114530,-0.095287,0.152377,-0.012210,-1.006042,0.994368,-0.085986,-0.067294,0.160641,-0.752991,-0.995053,1.006972,-0.090136,0.103379,0.243723,-1.512272,-1.011428,0.992833,-0.101452,-0.069455,0.129778,1.509640,1.004279,0.998305,0.088228,0.025974,0.058670,0.762027,1.034386,0.992193,0.136950,0.244071,0.065707,-0.000588,1.000071,1.005476,-0.023695,0.018787,0.111098,-0.772391,1.004497,0.993367,-0.142526,0.076826,0.025387,-1.518360,1.002877,0.995131,-0.087500,0.075417,0.081074
0.180000,1.514053,-0.998584,0.994482,0.075844,-0.031332,0.085430,0.740771,-1.009985,1.000181,-0.114957,-0.095501,0.153495,-0.013930,-1.007389,0.997593,-0.085971,-0.067424,0.161954,-0.754798,-0.992981,1.011859,-0.090551,0.103818,0.244979,-1.514301,-1.012816,0.995439,-0.101500,-0.069346,0.130924,1.511405,1.004798,0.999483,0.088314,0.025919,0.059116,0.764769,1.039267,0.993515,0.137241,0.243965,0.066475,-0.001063,1.000448,1.007702,-0.023806,0.018882,0.111545,-0.775240,1.006036,0.993879,-0.142353,0.077084,0.025857,-1.520106,1.004389,0.996759,-0.087172,0.075750,0.081804
