time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s]
0.000000,0.027209,0.027996,1.008003,-0.494152,0.047938,0.002018,0.771967,0.338506,1.003292,-0.611645,0.248355,-0.003335,0.709134,-0.351658,1.005601,-0.057865,0.674774,-0.003967,-0.758967,0.398471,1.000989,0.231968,-0.747949,0.001562,-0.792079,-0.359507,1.004577,0.783999,-0.086784,-0.005727
0.020000,0.017325,0.028955,1.008043,-0.494218,0.047881,0.002013,0.759733,0.343473,1.003225,-0.611784,0.248378,-0.003334,0.707976,-0.338162,1.005522,-0.057894,0.674797,-0.003968,-0.754327,0.383511,1.001021,0.232089,-0.748046,0.001560,-0.776398,-0.361243,1.004462,0.784185,-0.086763,-0.005725
0.040000,0.007439,0.029911,1.008083,-0.494414,0.047711,0.001999,0.747494,0.348442,1.003158,-0.612199,0.248446,-0.003332,0.706818,-0.324666,1.005442,-0.057982,0.674866,-0.003968,-0.749682,0.368548,1.001052,0.232453,-0.748337,0.001554,-0.760709,-0.362977,1.004348,0.784744,-0.086703,-0.005719
0.060000,-0.002452,0.030862,1.008123,-0.494742,0.047428,0.001974,0.735244,0.353412,1.003092,-0.612891,0.248561,-0.003327,0.705657,-0.311167,1.005363,-0.058127,0.674982,-0.003970,-0.745027,0.353577,1.001083,0.233059,-0.748821,0.001543,-0.745005,-0.364710,1.004234,0.785675,-0.086601,-0.005708
0.080000,-0.012351,0.031807,1.008162,-0.495200,0.047031,0.001941,0.722977,0.358384,1.003025,-0.613860,0.248721,-0.003321,0.704492,-0.297666,1.005284,-0.058332,0.675144,-0.003971,-0.740358,0.338594,1.001114,0.233908,-0.749499,0.001528,-0.729280,-0.366441,1.004119,0.786979,-0.086459,-0.005694
0.100000,-0.022261,0.032743,1.008200,-0.495789,0.046520,0.001897,0.710687,0.363361,1.002959,-0.615106,0.248927,-0.003313,0.703323,-0.284161,1.005204,-0.058595,0.675352,-0.003973,-0.735669,0.323595,1.001144,0.234999,-0.750371,0.001509,-0.713524,-0.368169,1.004006,0.788654,-0.086277,-0.005675
0.120000,-0.032184,0.033667,1.008238,-0.496507,0.045843,0.001842,0.698370,0.368342,1.002893,-0.616667,0.249163,-0.003301,0.702148,-0.270652,1.005125,-0.058945,0.675546,-0.003975,-0.730956,0.308578,1.001174,0.236406,-0.751427,0.001484,-0.697730,-0.369892,1.003892,0.790774,-0.086025,-0.005652
0.140000,-0.042122,0.034575,1.008274,-0.497351,0.044944,0.001772,0.686018,0.373327,1.002827,-0.618583,0.249415,-0.003286,0.700964,-0.257140,1.005045,-0.059413,0.675666,-0.003977,-0.726210,0.293537,1.001203,0.238200,-0.752659,0.001454,-0.681889,-0.371609,1.003780,0.793408,-0.085674,-0.005621
0.160000,-0.052079,0.035463,1.008309,-0.498321,0.043823,0.001687,0.673624,0.378318,1.002761,-0.620854,0.249682,-0.003267,0.699771,-0.243626,1.004966,-0.059997,0.675710,-0.003977,-0.721425,0.278470,1.001232,0.240381,-0.754066,0.001417,-0.665991,-0.373318,1.003668,0.796557,-0.085224,-0.005585
0.180000,-0.062056,0.036327,1.008341,-0.499417,0.042482,0.001588,0.661182,0.383315,1.002696,-0.623479,0.249965,-0.003244,0.698564,-0.230112,1.004886,-0.060699,0.675680,-0.003977,-0.716593,0.263373,1.001260,0.242950,-0.755649,0.001375,-0.650024,-0.375017,1.003556,0.800221,-0.084675,-0.005542
