time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s],drone9_posx[m],drone9_posy[m],drone9_posz[m],drone9_velx[m/s],drone9_vely[m/s],drone9_velz[m/s]
0.000000,0.599097,-1.997724,0.973929,-0.003792,0.043568,0.058864,0.584192,-1.020612,0.976409,0.036805,0.121063,0.091762,0.601834,-0.000690,0.966328,-0.039964,-0.016609,0.065853,0.601549,0.995363,0.967243,-0.033418,0.023378,0.075101,0.597471,1.999238,0.970129,0.008165,-0.070715,0.103820,-0.598369,-1.998612,0.976192,0.009364,0.068091,0.078891,-0.627130,-0.994774,0.986706,0.145691,0.008675,0.032875,-0.596410,-0.002964,0.985088,-0.025202,0.015779,0.045973,-0.590511,0.993116,0.981728,-0.079101,-0.105069,0.107472,-0.597994,1.998379,0.976049,0.009297,-0.044728,0.081171
0.020000,0.599021,-1.996853,0.975107,-0.003790,0.043564,0.058916,0.584929,-1.018190,0.978245,0.036837,0.121104,0.091809,0.601034,-0.001022,0.967646,-0.039967,-0.016607,0.065921,0.600880,0.995830,0.968745,-0.033421,0.023387,0.075168,0.597634,1.997823,0.972205,0.008171,-0.070714,0.103880,-0.598181,-1.997250,0.977770,0.009361,0.068088,0.078938,-0.624216,-0.994601,0.987363,0.145745,0.008665,0.032902,-0.596914,-0.002649,0.986008,-0.025209,0.015785,0.046003,-0.592093,0.991015,0.983878,-0.079120,-0.105055,0.107509,-0.597808,1.997485,0.977673,0.009293,-0.044726,0.081219
0.040000,0.598946,-1.995982,0.976286,-0.003784,0.043551,0.059072,0.585666,-1.015767,0.980082,0.036932,0.121229,0.091952,0.600235,-0.001354,0.968966,-0.039978,-0.016603,0.066125,0.600212,0.996298,0.970251,-0.033430,0.023414,0.075366,0.597798,1.996409,0.974285,0.008186,-0.070711,0.104058,-0.597994,-1.995888,0.979350,0.009351,0.068081,0.079081,-0.621300,-0.994428,0.988022,0.145908,0.008634,0.032982,-0.597419,-0.002333,0.986929,-0.025230,0.015803,0.046093,-0.593676,0.988914,0.986029,-0.079176,-0.105015,0.107618,-0.597622,1.996590,0.979298,0.009281,-0.044717,0.081362
0.060000,0.598870,-1.995111,0.977470,-0.003775,0.043530,0.059333,0.586407,-1.013340,0.981924,0.037090,0.121436,0.092191,0.599435,-0.001686,0.970292,-0.039996,-0.016597,0.066466,0.599543,0.996767,0.971761,-0.033446,0.023459,0.075698,0.597962,1.994995,0.976368,0.008212,-0.070705,0.104357,-0.597807,-1.994527,0.980934,0.009336,0.068069,0.079318,-0.618379,-0.994256,0.988683,0.146180,0.008582,0.033115,-0.597924,-0.002016,0.987852,-0.025265,0.015832,0.046242,-0.595260,0.986815,0.988183,-0.079270,-0.104948,0.107801,-0.597437,1.995696,0.980928,0.009262,-0.044703,0.081602
0.080000,0.598795,-1.994241,0.978660,-0.003762,0.043501,0.059697,0.587150,-1.010909,0.983771,0.037312,0.121726,0.092524,0.598635,-0.002018,0.971626,-0.040021,-0.016588,0.066943,0.598874,0.997237,0.973279,-0.033467,0.023522,0.076161,0.598126,1.993581,0.978460,0.008247,-0.070697,0.104774,-0.597621,-1.993166,0.982524,0.009314,0.068052,0.079651,-0.615452,-0.994085,0.989347,0.146561,0.008510,0.033301,-0.598429,-0.001699,0.988779,-0.025314,0.015873,0.046451,-0.596847,0.984717,0.990342,-0.079402,-0.104853,0.108057,-0.597252,1.994802,0.982563,0.009234,-0.044683,0.081936
0.100000,0.598719,-1.993371,0.979859,-0.003745,0.043463,0.060165,0.587899,-1.008471,0.985625,0.037597,0.122098,0.092953,0.597834,-0.002350,0.972971,-0.040054,-0.016576,0.067557,0.598204,0.997708,0.974808,-0.033494,0.023602,0.076757,0.598292,1.992167,0.980560,0.008293,-0.070687,0.105311,-0.597435,-1.991805,0.984121,0.009285,0.068030,0.080079,-0.612516,-0.993915,0.990015,0.147050,0.008418,0.033541,-0.598936,-0.001381,0.989710,-0.025378,0.015926,0.046719,-0.598437,0.982621,0.992506,-0.079572,-0.104732,0.108387,-0.597067,1.993909,0.984206,0.009199,-0.044658,0.082367
0.120000,0.598645,-1.992502,0.981068,-0.003720,0.043406,0.060776,0.588655,-1.006024,0.987489,0.037971,0.122573,0.093507,0.597033,-0.002681,0.974329,-0.040088,-0.016557,0.068360,0.597534,0.998181,0.976351,-0.033523,0.023704,0.077537,0.598458,1.990754,0.982673,0.008354,-0.070665,0.106005,-0.597250,-1.990445,0.985728,0.009247,0.067992,0.080633,-0.609569,-0.993748,0.990689,0.147674,0.008295,0.033854,-0.599445,-0.001062,0.990648,-0.025461,0.015987,0.047068,-0.600030,0.980528,0.994678,-0.079785,-0.104564,0.108808,-0.596884,1.993016,0.985859,0.009152,-0.044618,0.082924
0.140000,0.598571,-1.991635,0.982291,-0.003683,0.043320,0.061566,0.589419,-1.003567,0.989366,0.038458,0.123168,0.094215,0.596231,-0.003012,0.975707,-0.040120,-0.016528,0.069407,0.596863,0.998656,0.977911,-0.033549,0.023829,0.078550,0.598626,1.989341,0.984802,0.008432,-0.070620,0.106893,-0.597065,-1.989085,0.987347,0.009194,0.067926,0.081344,-0.606608,-0.993584,0.991370,0.148459,0.008131,0.034260,-0.599955,-0.000742,0.991594,-0.025569,0.016055,0.047516,-0.601629,0.978439,0.996859,-0.080048,-0.104330,0.109339,-0.596701,1.992124,0.987524,0.009087,-0.044554,0.083638
0.160000,0.598498,-1.990770,0.983532,-0.003634,0.043205,0.062535,0.590194,-1.001097,0.991259,0.039060,0.123885,0.095077,0.595428,-0.003342,0.977107,-0.040148,-0.016489,0.070697,0.596192,0.999134,0.979494,-0.033572,0.023977,0.079796,0.598795,1.987929,0.986950,0.008528,-0.070553,0.107976,-0.596882,-1.987728,0.988982,0.009127,0.067832,0.082211,-0.603629,-0.993423,0.992060,0.149404,0.007925,0.034760,-0.600468,-0.000420,0.992549,-0.025702,0.016128,0.048064,-0.603233,0.976355,0.999052,-0.080359,-0.104031,0.109980,-0.596520,1.991234,0.989205,0.009006,-0.044467,0.084509
0.180000,0.598426,-1.989907,0.984793,-0.003572,0.043061,0.063684,0.590982,-0.998611,0.993171,0.039776,0.124722,0.096093,0.594625,-0.003671,0.978536,-0.040173,-0.016438,0.072231,0.595521,0.999616,0.981105,-0.033592,0.024149,0.081277,0.598967,1.986519,0.989122,0.008642,-0.070463,0.109253,-0.596700,-1.986372,0.990637,0.009047,0.067710,0.083235,-0.600631,-0.993267,0.992761,0.150510,0.007679,0.035353,-0.600983,-0.000097,0.993517,-0.025860,0.016207,0.048712,-0.604843,0.974278,1.001259,-0.080720,-0.103665,0.110732,-0.596341,1.990346,0.990905,0.008907,-0.044357,0.085537
