time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s]
0.000000,-0.010729,-0.014025,0.993768,-0.005687,0.158957,0.052625,0.712061,0.347266,1.005081,-0.112241,0.027152,0.019267,0.707037,-0.363907,1.003007,-0.016200,0.070961,0.027425,-0.706493,0.372310,0.996334,0.048076,-0.109658,0.013858,-0.723456,-0.352130,0.998103,0.101783,-0.000786,-0.006299
0.020000,-0.010842,-0.010846,0.994821,-0.005671,0.158983,0.052640,0.709816,0.347809,1.005467,-0.112265,0.027160,0.019263,0.706713,-0.362487,1.003555,-0.016205,0.070987,0.027425,-0.705531,0.370117,0.996611,0.048085,-0.109696,0.013866,-0.721420,-0.352146,0.997977,0.101830,-0.000785,-0.006294
0.040000,-0.010955,-0.007665,0.995874,-0.005623,0.159064,0.052686,0.707570,0.348353,1.005852,-0.112338,0.027182,0.019252,0.706388,-0.361067,1.004104,-0.016220,0.071066,0.027426,-0.704569,0.367922,0.996889,0.048111,-0.109809,0.013892,-0.719382,-0.352162,0.997851,0.101971,-0.000783,-0.006279
0.060000,-0.011067,-0.004483,0.996928,-0.005543,0.159199,0.052763,0.705322,0.348897,1.006237,-0.112459,0.027219,0.019233,0.706064,-0.359644,1.004652,-0.016245,0.071198,0.027428,-0.703606,0.365724,0.997167,0.048154,-0.109998,0.013934,-0.717340,-0.352177,0.997726,0.102207,-0.000781,-0.006254
0.080000,-0.011177,-0.001297,0.997985,-0.005431,0.159387,0.052870,0.703072,0.349442,1.006621,-0.112628,0.027271,0.019207,0.705739,-0.358219,1.005201,-0.016279,0.071383,0.027431,-0.702643,0.363522,0.997446,0.048215,-0.110262,0.013993,-0.715293,-0.352193,0.997601,0.102536,-0.000777,-0.006220
0.100000,-0.011284,0.001893,0.999043,-0.005287,0.159629,0.053008,0.700817,0.349988,1.007005,-0.112846,0.027338,0.019173,0.705413,-0.356789,1.005749,-0.016323,0.071620,0.027434,-0.701678,0.361313,0.997727,0.048293,-0.110602,0.014070,-0.713238,-0.352208,0.997477,0.102959,-0.000772,-0.006176
0.120000,-0.011388,0.005089,1.000105,-0.005097,0.159919,0.053182,0.698557,0.350535,1.007388,-0.113125,0.027425,0.019134,0.705086,-0.355353,1.006298,-0.016379,0.071931,0.027444,-0.700711,0.359097,0.998009,0.048394,-0.111039,0.014169,-0.711174,-0.352224,0.997354,0.103497,-0.000765,-0.006122
0.140000,-0.011488,0.008290,1.001171,-0.004847,0.160253,0.053395,0.696292,0.351085,1.007770,-0.113479,0.027537,0.019095,0.704757,-0.353911,1.006847,-0.016449,0.072335,0.027466,-0.699742,0.356871,0.998294,0.048526,-0.111594,0.014296,-0.709097,-0.352239,0.997232,0.104171,-0.000754,-0.006059
0.160000,-0.011582,0.011499,1.002241,-0.004537,0.160629,0.053648,0.694018,0.351637,1.008152,-0.113907,0.027675,0.019054,0.704428,-0.352459,1.007397,-0.016534,0.072833,0.027500,-0.698770,0.354632,0.998581,0.048687,-0.112268,0.014453,-0.707006,-0.352254,0.997112,0.104980,-0.000739,-0.005987
0.180000,-0.011669,0.014716,1.003317,-0.004167,0.161048,0.053941,0.691735,0.352192,1.008533,-0.114410,0.027839,0.019012,0.704096,-0.350997,1.007947,-0.016632,0.073424,0.027546,-0.697794,0.352379,0.998872,0.048878,-0.113061,0.014638,-0.704897,-0.352269,0.996993,0.105925,-0.000721,-0.005906
0.200000,-0.011748,0.017941,1.004399,-0.003737,0.161511,0.054273,0.689441,0.352751,1.008912,-0.114988,0.028029,0.018969,0.703762,-0.349522,1.008499,-0.016745,0.074109,0.027604,-0.696814,0.350109,0.999167,0.049100,-0.113972,0.014852,-0.702768,-0.352283,0.996876,0.107005,-0.000699,-0.005816
0.220000,-0.011818,0.021176,1.005488,-0.003229,0.162002,0.054642,0.687135,0.353313,1.009291,-0.115637,0.028242,0.018922,0.703426,-0.348032,1.009052,-0.016871,0.074887,0.027674,-0.695830,0.347820,0.999466,0.049347,-0.114997,0.015093,-0.700616,-0.352296,0.996760,0.108236,-0.000672,-0.005711
0.240000,-0.011876,0.024421,1.006585,-0.002626,0.162509,0.055043,0.684815,0.353880,1.009669,-0.116354,0.028478,0.018870,0.703087,-0.346526,1.009606,-0.017010,0.075756,0.027754,-0.694840,0.345509,0.999771,0.049616,-0.116130,0.015361,-0.698438,-0.352310,0.996647,0.109633,-0.000638,-0.005587
0.260000,-0.011922,0.027677,1.007690,-0.001927,0.163032,0.055475,0.682480,0.354453,1.010046,-0.117138,0.028736,0.018813,0.702746,-0.345001,1.010162,-0.017162,0.076716,0.027844,-0.693845,0.343174,1.000081,0.049906,-0.117372,0.015654,-0.696230,-0.352322,0.996537,0.111198,-0.000596,-0.005444
0.280000,-0.011953,0.030943,1.008804,-0.001134,0.163570,0.055939,0.680129,0.355030,1.010422,-0.117990,0.029016,0.018751,0.702401,-0.343456,1.010720,-0.017327,0.077768,0.027945,-0.692844,0.340813,1.000397,0.050219,-0.118723,0.015973,-0.693989,-0.352333,0.996430,0.112929,-0.000547,-0.005282
0.300000,-0.011967,0.034220,1.009928,-0.000245,0.164123,0.056436,0.677760,0.355613,1.010796,-0.118910,0.029318,0.018683,0.702052,-0.341890,1.011280,-0.017505,0.078912,0.028056,-0.691836,0.338424,1.000720,0.050553,-0.120183,0.016317,-0.691711,-0.352344,0.996326,0.114827,-0.000490,-0.005100
0.320000,-0.011962,0.037508,1.011062,0.000747,0.164695,0.056966,0.675372,0.356203,1.011169,-0.119902,0.029645,0.018611,0.701700,-0.340299,1.011842,-0.017696,0.080155,0.028178,-0.690822,0.336005,1.001050,0.050902,-0.121741,0.016682,-0.689395,-0.352353,0.996226,0.116895,-0.000425,-0.004897
0.340000,-0.011936,0.040808,1.012207,0.001849,0.165287,0.057533,0.672963,0.356799,1.011540,-0.120970,0.029997,0.018537,0.701344,-0.338683,1.012407,-0.017902,0.081506,0.028313,-0.689800,0.333554,1.001387,0.051260,-0.123387,0.017060,-0.687035,-0.352361,0.996130,0.119136,-0.000349,-0.004674
0.360000,-0.011887,0.044119,1.013363,0.003062,0.165899,0.058138,0.670533,0.357403,1.011910,-0.122113,0.030374,0.018460,0.700984,-0.337038,1.012975,-0.018122,0.082966,0.028459,-0.688771,0.331069,1.001732,0.051625,-0.125120,0.017451,-0.684628,-0.352367,0.996039,0.121551,-0.000264,-0.004428
0.380000,-0.011813,0.047444,1.014532,0.004386,0.166532,0.058779,0.668078,0.358014,1.012279,-0.123331,0.030776,0.018380,0.700619,-0.335363,1.013545,-0.018357,0.084534,0.028618,-0.687735,0.328549,1.002085,0.051998,-0.126941,0.017857,-0.682171,-0.352371,0.995953,0.124139,-0.000167,-0.004161
