time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s]
0.000000,0.050525,0.006682,1.001659,-0.432376,0.027221,0.000924,0.768582,0.328848,1.005005,-0.493212,0.178591,-0.001073,0.729417,-0.386073,0.992817,-0.001942,0.570282,-0.002119,-0.738802,0.386372,1.000292,0.133925,-0.687533,-0.007973,-0.777664,-0.344751,0.996778,0.706232,-0.061676,0.002461
0.020000,0.041877,0.007226,1.001678,-0.432469,0.027205,0.000924,0.758717,0.332421,1.004984,-0.493365,0.178633,-0.001075,0.729377,-0.374667,0.992775,-0.001990,0.570352,-0.002115,-0.736123,0.372621,1.000133,0.134014,-0.687624,-0.007970,-0.763539,-0.345985,0.996827,0.706383,-0.061679,0.002464
0.040000,0.033225,0.007770,1.001696,-0.432750,0.027157,0.000924,0.748846,0.335994,1.004962,-0.493823,0.178759,-0.001082,0.729336,-0.363258,0.992733,-0.002132,0.570559,-0.002102,-0.733441,0.358866,0.999974,0.134281,-0.687896,-0.007962,-0.749407,-0.347218,0.996876,0.706836,-0.061687,0.002471
0.060000,0.024565,0.008312,1.001715,-0.433218,0.027076,0.000925,0.738962,0.339571,1.004941,-0.494585,0.178969,-0.001093,0.729292,-0.351844,0.992691,-0.002370,0.570905,-0.002080,-0.730751,0.345104,0.999814,0.134726,-0.688348,-0.007948,-0.735263,-0.348452,0.996926,0.707591,-0.061702,0.002484
0.080000,0.015895,0.008852,1.001733,-0.433873,0.026964,0.000925,0.729060,0.343154,1.004919,-0.495653,0.179264,-0.001108,0.729241,-0.340421,0.992650,-0.002702,0.571389,-0.002049,-0.728050,0.331331,0.999656,0.135348,-0.688982,-0.007929,-0.721101,-0.349686,0.996976,0.708647,-0.061723,0.002501
0.100000,0.007209,0.009390,1.001752,-0.434714,0.026819,0.000926,0.719134,0.346743,1.004896,-0.497026,0.179642,-0.001128,0.729183,-0.328987,0.992609,-0.003129,0.572012,-0.002010,-0.725336,0.317543,0.999497,0.136148,-0.689797,-0.007904,-0.706915,-0.350921,0.997026,0.710005,-0.061749,0.002523
0.120000,-0.001495,0.009925,1.001770,-0.435762,0.026622,0.000926,0.709177,0.350340,1.004873,-0.498768,0.180122,-0.001154,0.729115,-0.317540,0.992569,-0.003683,0.572770,-0.001960,-0.722603,0.303738,0.999340,0.137183,-0.690795,-0.007869,-0.692699,-0.352156,0.997077,0.711716,-0.061778,0.002552
0.140000,-0.010223,0.010455,1.001789,-0.437034,0.026351,0.000927,0.699180,0.353948,1.004850,-0.500944,0.180720,-0.001186,0.729034,-0.306076,0.992531,-0.004396,0.573663,-0.001899,-0.719847,0.289910,0.999183,0.138509,-0.691978,-0.007820,-0.678444,-0.353392,0.997128,0.713828,-0.061804,0.002587
0.160000,-0.018978,0.010978,1.001807,-0.438531,0.026007,0.000927,0.689136,0.357570,1.004826,-0.503553,0.181437,-0.001224,0.728938,-0.294592,0.992493,-0.005267,0.574690,-0.001827,-0.717061,0.276057,0.999027,0.140126,-0.693348,-0.007757,-0.664143,-0.354628,0.997180,0.716343,-0.061827,0.002630
0.180000,-0.027765,0.011494,1.001826,-0.440252,0.025589,0.000926,0.679035,0.361206,1.004801,-0.506595,0.182272,-0.001269,0.728823,-0.283087,0.992458,-0.006298,0.575852,-0.001744,-0.714240,0.262175,0.998872,0.142035,-0.694903,-0.007680,-0.649788,-0.355865,0.997233,0.719260,-0.061849,0.002680
0.200000,-0.036590,0.012001,1.001844,-0.442198,0.025099,0.000926,0.668869,0.364861,1.004775,-0.510070,0.183225,-0.001320,0.728685,-0.271557,0.992424,-0.007487,0.577147,-0.001649,-0.711377,0.248260,0.998720,0.144235,-0.696643,-0.007589,-0.635370,-0.357102,0.997287,0.722579,-0.061868,0.002737
0.220000,-0.045455,0.012498,1.001863,-0.444351,0.024519,0.000926,0.658630,0.368536,1.004748,-0.513972,0.184296,-0.001378,0.728522,-0.260001,0.992392,-0.008852,0.578535,-0.001544,-0.708468,0.234308,0.998569,0.146747,-0.698514,-0.007482,-0.620882,-0.358340,0.997343,0.726278,-0.061870,0.002800
0.240000,-0.054365,0.012982,1.001881,-0.446693,0.023836,0.000925,0.648308,0.372234,1.004720,-0.518290,0.185482,-0.001442,0.728330,-0.248416,0.992362,-0.010408,0.579975,-0.001428,-0.705505,0.220319,0.998421,0.149593,-0.700460,-0.007357,-0.606317,-0.359577,0.997399,0.730331,-0.061840,0.002870
0.260000,-0.063324,0.013451,1.001900,-0.449223,0.023048,0.000925,0.637895,0.375956,1.004690,-0.523027,0.186782,-0.001513,0.728104,-0.236801,0.992335,-0.012155,0.581465,-0.001301,-0.702482,0.206290,0.998275,0.152771,-0.702482,-0.007215,-0.591666,-0.360813,0.997458,0.734741,-0.061777,0.002945
0.280000,-0.072335,0.013903,1.001918,-0.451943,0.022156,0.000925,0.627384,0.379706,1.004659,-0.528180,0.188198,-0.001590,0.727842,-0.225157,0.992310,-0.014093,0.583006,-0.001164,-0.699392,0.192219,0.998132,0.156282,-0.704579,-0.007054,-0.576925,-0.362048,0.997517,0.739506,-0.061682,0.003025
0.300000,-0.081403,0.014336,1.001937,-0.454851,0.021160,0.000925,0.616765,0.383485,1.004627,-0.533752,0.189729,-0.001674,0.727539,-0.213481,0.992288,-0.016223,0.584599,-0.001017,-0.696229,0.178106,0.997993,0.160127,-0.706750,-0.006876,-0.562084,-0.363280,0.997579,0.744626,-0.061556,0.003112
0.320000,-0.090530,0.014748,1.001955,-0.457904,0.020051,0.000925,0.606031,0.387296,1.004592,-0.539678,0.191362,-0.001764,0.727192,-0.201773,0.992269,-0.018547,0.586180,-0.000860,-0.692985,0.163949,0.997857,0.164298,-0.708920,-0.006680,-0.547137,-0.364510,0.997642,0.750045,-0.061385,0.003202
0.340000,-0.099720,0.015137,1.001974,-0.461058,0.018817,0.000925,0.595176,0.391140,1.004556,-0.545896,0.193081,-0.001859,0.726796,-0.190034,0.992254,-0.021072,0.587690,-0.000695,-0.689655,0.149750,0.997726,0.168788,-0.711009,-0.006467,-0.532080,-0.365735,0.997707,0.755702,-0.061157,0.003296
