time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s]
0.000000,0.030024,0.063860,1.004316,-0.589619,0.197577,0.175933,0.764603,0.345320,0.997443,-0.562677,0.311458,0.178788,0.697767,-0.413793,1.012183,-0.063980,0.508714,0.179802,-0.739265,0.355911,0.987246,0.231263,-0.779647,0.184959,-0.750044,-0.371982,0.996938,0.970325,-0.207885,0.179267
0.020000,0.018232,0.067811,1.007835,-0.589692,0.197465,0.175939,0.753348,0.351549,1.001019,-0.562810,0.311475,0.178796,0.696487,-0.403618,1.015779,-0.063982,0.508838,0.179792,-0.734639,0.340318,0.990945,0.231344,-0.779680,0.184977,-0.730637,-0.376140,1.000524,0.970470,-0.207857,0.179280
0.040000,0.006436,0.071757,1.011354,-0.589912,0.197132,0.175955,0.742089,0.357779,1.004595,-0.563210,0.311526,0.178820,0.695207,-0.393438,1.019375,-0.063990,0.509209,0.179761,-0.730010,0.324723,0.994645,0.231589,-0.779781,0.185029,-0.711224,-0.380296,1.004110,0.970903,-0.207773,0.179321
0.060000,-0.005366,0.075695,1.014873,-0.590277,0.196575,0.175983,0.730818,0.364010,1.008172,-0.563876,0.311610,0.178860,0.693927,-0.383248,1.022969,-0.064004,0.509827,0.179710,-0.725375,0.309126,0.998346,0.231996,-0.779949,0.185115,-0.691799,-0.384450,1.007697,0.971624,-0.207633,0.179388
0.080000,-0.017176,0.079619,1.018393,-0.590788,0.195796,0.176022,0.719532,0.370243,1.011749,-0.564810,0.311728,0.178916,0.692647,-0.373043,1.026563,-0.064023,0.510693,0.179639,-0.720729,0.293525,1.002050,0.232566,-0.780183,0.185237,-0.672357,-0.388601,1.011285,0.972634,-0.207437,0.179483
0.100000,-0.028998,0.083525,1.021914,-0.591446,0.194795,0.176073,0.708224,0.376480,1.015329,-0.566010,0.311879,0.178988,0.691366,-0.362819,1.030155,-0.064048,0.511806,0.179547,-0.716071,0.277918,1.005756,0.233299,-0.780485,0.185393,-0.652892,-0.392747,1.014876,0.973933,-0.207185,0.179604
0.120000,-0.040835,0.087409,1.025436,-0.592234,0.193459,0.176123,0.696889,0.382719,1.018909,-0.567520,0.312045,0.179063,0.690085,-0.352569,1.033744,-0.064085,0.513207,0.179416,-0.711396,0.262305,1.009466,0.234235,-0.780800,0.185572,-0.633397,-0.396888,1.018470,0.975541,-0.206833,0.179742
0.140000,-0.052689,0.091261,1.028959,-0.593139,0.191675,0.176161,0.685521,0.388961,1.022491,-0.569385,0.312205,0.179129,0.688803,-0.342288,1.037331,-0.064139,0.514936,0.179227,-0.706700,0.246687,1.013179,0.235415,-0.781074,0.185764,-0.613868,-0.401020,1.022066,0.977480,-0.206336,0.179888
0.160000,-0.064561,0.095073,1.032483,-0.594159,0.189445,0.176187,0.674111,0.395207,1.026074,-0.571605,0.312361,0.179185,0.687520,-0.331970,1.040913,-0.064211,0.516993,0.178980,-0.701978,0.231063,1.016896,0.236838,-0.781308,0.185967,-0.594296,-0.405140,1.025665,0.979751,-0.205694,0.180042
0.180000,-0.076456,0.098835,1.036007,-0.595296,0.186767,0.176202,0.662654,0.401456,1.029658,-0.574180,0.312511,0.179231,0.686234,-0.321606,1.044490,-0.064302,0.519378,0.178675,-0.697225,0.215435,1.020618,0.238504,-0.781502,0.186183,-0.574675,-0.409246,1.029268,0.982353,-0.204908,0.180203
