time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s],drone9_posx[m],drone9_posy[m],drone9_posz[m],drone9_velx[m/s],drone9_vely[m/s],drone9_velz[m/s]
0.000000,0.912409,-0.996187,0.996896,-0.055115,-0.111792,0.059722,0.899472,-0.498498,0.996697,0.046116,-0.066561,0.046850,0.896521,-0.001130,0.997420,0.118968,-0.009710,0.061101,0.906370,0.504434,1.000774,0.054667,0.053481,0.054077,0.911737,0.991810,0.994244,-0.059692,0.073956,0.050190,0.321121,-0.993192,0.993834,-0.128900,-0.075478,0.013406,0.333370,-0.495379,1.001664,-0.231459,-0.059753,0.007800,0.341523,0.000165,0.999322,-0.338228,0.001744,-0.015796,0.328033,0.496657,0.998723,-0.252669,0.064419,-0.013255,0.319764,0.994508,0.995059,-0.130481,0.070455,0.020936
0.020000,0.911306,-0.998423,0.998090,-0.055134,-0.111807,0.059730,0.900394,-0.499830,0.997634,0.046123,-0.066567,0.046858,0.898900,-0.001324,0.998642,0.118982,-0.009708,0.061108,0.907464,0.505504,1.001855,0.054661,0.053476,0.054077,0.910543,0.993289,0.995248,-0.059709,0.073980,0.050203,0.318543,-0.994702,0.994102,-0.128941,-0.075499,0.013419,0.328740,-0.496574,1.001820,-0.231528,-0.059767,0.007798,0.334758,0.000200,0.999006,-0.338313,0.001743,-0.015793,0.322979,0.497945,0.998458,-0.252727,0.064430,-0.013251,0.317155,0.995917,0.995478,-0.130519,0.070474,0.020948
0.040000,0.910203,-1.000660,0.999285,-0.055191,-0.111853,0.059753,0.901317,-0.501161,0.998571,0.046145,-0.066586,0.046882,0.901280,-0.001518,0.999864,0.119024,-0.009701,0.061128,0.908557,0.506573,1.002937,0.054641,0.053459,0.054076,0.909348,0.994769,0.996252,-0.059762,0.074052,0.050242,0.315963,-0.996212,0.994371,-0.129064,-0.075563,0.013461,0.324108,-0.497770,1.001976,-0.231733,-0.059808,0.007793,0.327990,0.000235,0.998690,-0.338571,0.001742,-0.015784,0.317923,0.499234,0.998193,-0.252901,0.064464,-0.013239,0.314543,0.997327,0.995897,-0.130634,0.070530,0.020982
0.060000,0.909098,-1.002898,1.000481,-0.055285,-0.111929,0.059791,0.902240,-0.502493,0.999509,0.046181,-0.066618,0.046922,0.903661,-0.001712,1.001087,0.119095,-0.009690,0.061161,0.909649,0.507642,1.004018,0.054609,0.053432,0.054076,0.908152,0.996252,0.997258,-0.059851,0.074172,0.050307,0.313380,-0.997725,0.994641,-0.129269,-0.075669,0.013530,0.319470,-0.498967,1.002132,-0.232076,-0.059877,0.007784,0.321214,0.000270,0.998374,-0.339000,0.001741,-0.015770,0.312862,0.500524,0.997929,-0.253190,0.064520,-0.013218,0.311929,0.998739,0.996317,-0.130826,0.070623,0.021038
0.080000,0.907991,-1.005137,1.001677,-0.055418,-0.112036,0.059845,0.903164,-0.503826,1.000448,0.046232,-0.066663,0.046978,0.906044,-0.001906,1.002311,0.119193,-0.009674,0.061207,0.910741,0.508711,1.005100,0.054563,0.053393,0.054075,0.906954,0.997737,0.998265,-0.059974,0.074339,0.050398,0.310791,-0.999239,0.994912,-0.129556,-0.075817,0.013626,0.314824,-0.500165,1.002288,-0.232556,-0.059974,0.007771,0.314428,0.000305,0.998059,-0.339601,0.001738,-0.015749,0.307795,0.501815,0.997665,-0.253595,0.064599,-0.013190,0.309310,1.000153,0.996739,-0.131094,0.070753,0.021118
0.100000,0.906881,-1.007379,1.002874,-0.055589,-0.112173,0.059914,0.904090,-0.505160,1.001389,0.046297,-0.066720,0.047050,0.908429,-0.002099,1.003536,0.119319,-0.009654,0.061267,0.911832,0.509778,1.006181,0.054504,0.053344,0.054073,0.905753,0.999225,0.999274,-0.060133,0.074555,0.050515,0.308197,-1.000758,0.995186,-0.129926,-0.076008,0.013751,0.310167,-0.501366,1.002443,-0.233172,-0.060098,0.007755,0.307629,0.000340,0.997744,-0.340373,0.001735,-0.015723,0.302718,0.503108,0.997401,-0.254116,0.064700,-0.013153,0.306684,1.001569,0.997162,-0.131439,0.070920,0.021220
0.120000,0.905767,-1.009624,1.004073,-0.055805,-0.112328,0.059995,0.905016,-0.506495,1.002330,0.046376,-0.066782,0.047128,0.910817,-0.002292,1.004762,0.119481,-0.009625,0.061334,0.912921,0.510844,1.007262,0.054430,0.053283,0.054061,0.904548,1.000719,1.000286,-0.060332,0.074821,0.050651,0.305594,-1.002280,0.995463,-0.130389,-0.076239,0.013904,0.305496,-0.502569,1.002598,-0.233956,-0.060248,0.007731,0.300812,0.000374,0.997430,-0.341339,0.001732,-0.015692,0.297629,0.504403,0.997138,-0.254765,0.064824,-0.013110,0.304052,1.002990,0.997587,-0.131869,0.071128,0.021344
0.140000,0.904649,-1.011872,1.005274,-0.056073,-0.112490,0.060085,0.905945,-0.507831,1.003274,0.046467,-0.066838,0.047201,0.913209,-0.002484,1.005989,0.119685,-0.009585,0.061405,0.914009,0.511909,1.008343,0.054338,0.053210,0.054029,0.903339,1.002219,1.001300,-0.060575,0.075138,0.050799,0.302981,-1.003807,0.995743,-0.130956,-0.076509,0.014087,0.300807,-0.503776,1.002752,-0.234936,-0.060421,0.007697,0.293974,0.000409,0.997117,-0.342522,0.001728,-0.015660,0.292526,0.505701,0.996877,-0.255555,0.064973,-0.013060,0.301409,1.004415,0.998016,-0.132394,0.071382,0.021488
0.160000,0.903524,-1.014124,1.006477,-0.056392,-0.112658,0.060184,0.906875,-0.509168,1.004218,0.046570,-0.066890,0.047269,0.915605,-0.002675,1.007218,0.119931,-0.009532,0.061478,0.915095,0.512973,1.009424,0.054229,0.053124,0.053977,0.902125,1.003725,1.002318,-0.060863,0.075508,0.050959,0.300355,-1.005341,0.996026,-0.131628,-0.076817,0.014301,0.296097,-0.504986,1.002906,-0.236113,-0.060617,0.007652,0.287110,0.000443,0.996804,-0.343922,0.001724,-0.015624,0.287406,0.507003,0.996616,-0.256485,0.065146,-0.013005,0.298755,1.005845,0.998447,-0.133012,0.071681,0.021652
0.180000,0.902393,-1.016379,1.007682,-0.056763,-0.112832,0.060291,0.907808,-0.510507,1.005164,0.046686,-0.066937,0.047332,0.918006,-0.002865,1.008448,0.120219,-0.009468,0.061554,0.916178,0.514034,1.010502,0.054103,0.053027,0.053904,0.900904,1.005239,1.003338,-0.061196,0.075930,0.051131,0.297715,-1.006880,0.996315,-0.132404,-0.077163,0.014546,0.291361,-0.506201,1.003058,-0.237486,-0.060837,0.007597,0.280216,0.000478,0.996492,-0.345538,0.001720,-0.015587,0.282266,0.508307,0.996357,-0.257557,0.065344,-0.012944,0.296088,1.007282,0.998882,-0.133724,0.072025,0.021837
0.200000,0.901253,-1.018637,1.008889,-0.057186,-0.113012,0.060407,0.908743,-0.511846,1.006112,0.046814,-0.066979,0.047390,0.920414,-0.003054,1.009680,0.120550,-0.009391,0.061632,0.917259,0.515094,1.011580,0.053960,0.052917,0.053810,0.899677,1.006763,1.004363,-0.061573,0.076403,0.051316,0.295058,-1.008427,0.996608,-0.133285,-0.077548,0.014821,0.286596,-0.507420,1.003209,-0.239056,-0.061080,0.007531,0.273287,0.000512,0.996180,-0.347372,0.001716,-0.015547,0.277103,0.509616,0.996098,-0.258769,0.065566,-0.012877,0.293406,1.008727,0.999321,-0.134531,0.072414,0.022042
