time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s]
0.000000,0.050713,0.006069,1.002832,-0.257532,0.093287,0.001878,0.759842,0.329278,1.001713,-0.378605,0.112992,0.009676,0.708333,-0.413359,0.996115,0.024250,0.347316,0.007409,-0.742386,0.414082,0.997252,0.088512,-0.430736,-0.004982,-0.773632,-0.351511,1.002703,0.559556,-0.085082,0.005885
0.020000,0.045561,0.007935,1.002870,-0.257625,0.093274,0.001876,0.752269,0.331538,1.001907,-0.378715,0.113037,0.009674,0.708818,-0.406412,0.996263,0.024232,0.347433,0.007410,-0.740616,0.405466,0.997152,0.088586,-0.430875,-0.004983,-0.762440,-0.353213,1.002821,0.559697,-0.085079,0.005882
0.040000,0.040406,0.009800,1.002907,-0.257902,0.093235,0.001870,0.744692,0.333800,1.002100,-0.379048,0.113170,0.009669,0.709302,-0.399460,0.996411,0.024179,0.347784,0.007412,-0.738842,0.396845,0.997053,0.088807,-0.431291,-0.004988,-0.751242,-0.354915,1.002938,0.560120,-0.085072,0.005876
0.060000,0.035244,0.011664,1.002945,-0.258364,0.093169,0.001861,0.737106,0.336066,1.002294,-0.379602,0.113392,0.009659,0.709785,-0.392499,0.996559,0.024091,0.348369,0.007415,-0.737062,0.388213,0.996953,0.089176,-0.431985,-0.004996,-0.740033,-0.356616,1.003056,0.560825,-0.085061,0.005866
0.080000,0.030071,0.013527,1.002982,-0.259011,0.093077,0.001847,0.729506,0.338336,1.002487,-0.380379,0.113702,0.009646,0.710266,-0.385524,0.996708,0.023968,0.349188,0.007419,-0.735274,0.379564,0.996853,0.089693,-0.432957,-0.005008,-0.728807,-0.358317,1.003173,0.561812,-0.085045,0.005851
0.100000,0.024882,0.015387,1.003018,-0.259842,0.092959,0.001830,0.721889,0.340614,1.002679,-0.381376,0.114101,0.009629,0.710744,-0.378530,0.996856,0.023810,0.350242,0.007425,-0.733474,0.370893,0.996752,0.090358,-0.434206,-0.005023,-0.717559,-0.360018,1.003290,0.563082,-0.085024,0.005832
0.120000,0.019675,0.017245,1.003055,-0.260903,0.092791,0.001809,0.714250,0.342901,1.002872,-0.382640,0.114615,0.009607,0.711218,-0.371512,0.997005,0.023600,0.351577,0.007431,-0.731658,0.362193,0.996652,0.091226,-0.435793,-0.005041,-0.706282,-0.361718,1.003406,0.564692,-0.084986,0.005808
0.140000,0.014444,0.019098,1.003091,-0.262239,0.092550,0.001782,0.706582,0.345200,1.003064,-0.384213,0.115271,0.009576,0.711687,-0.364465,0.997153,0.023324,0.353242,0.007434,-0.729823,0.353458,0.996551,0.092353,-0.437776,-0.005063,-0.694968,-0.363417,1.003522,0.566702,-0.084917,0.005775
0.160000,0.009184,0.020946,1.003126,-0.263850,0.092234,0.001750,0.698879,0.347513,1.003255,-0.386096,0.116067,0.009538,0.712150,-0.357380,0.997302,0.022980,0.355236,0.007436,-0.727962,0.344680,0.996449,0.093738,-0.440155,-0.005088,-0.683611,-0.365114,1.003637,0.569113,-0.084818,0.005734
0.180000,0.003889,0.022787,1.003161,-0.265735,0.091845,0.001712,0.691136,0.349843,1.003445,-0.388289,0.117005,0.009492,0.712606,-0.350253,0.997451,0.022569,0.357560,0.007436,-0.726072,0.335850,0.996347,0.095381,-0.442932,-0.005117,-0.672201,-0.366809,1.003751,0.571923,-0.084689,0.005686
0.200000,-0.001447,0.024619,1.003194,-0.267895,0.091382,0.001669,0.683345,0.352194,1.003634,-0.390791,0.118085,0.009439,0.713053,-0.343076,0.997599,0.022091,0.360213,0.007435,-0.724145,0.326960,0.996244,0.097283,-0.446105,-0.005149,-0.660731,-0.368502,1.003864,0.575133,-0.084529,0.005629
0.220000,-0.006829,0.026442,1.003227,-0.270334,0.090820,0.001622,0.675502,0.354568,1.003823,-0.393593,0.119300,0.009376,0.713489,-0.335842,0.997748,0.021534,0.363193,0.007430,-0.722178,0.318003,0.996141,0.099474,-0.449675,-0.005184,-0.649193,-0.370190,1.003976,0.578734,-0.084319,0.005564
