time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s]
0.000000,-0.034998,-0.094027,1.011867,-0.158706,-0.465193,0.107822,0.432536,0.321198,0.999458,-0.903085,-0.501425,0.181240,0.600474,-0.343929,1.004162,-0.317303,-0.135103,0.137690,-0.655889,0.317042,1.006650,-0.052860,-0.344992,0.107909,-0.661136,-0.317739,1.005943,-0.065816,-0.187661,0.092052
0.020000,-0.038172,-0.103331,1.014023,-0.158670,-0.465138,0.107811,0.414476,0.311169,1.003083,-0.902940,-0.501466,0.181262,0.594129,-0.346631,1.006915,-0.317207,-0.135107,0.137693,-0.656947,0.310143,1.008809,-0.052901,-0.344963,0.107900,-0.662453,-0.321492,1.007784,-0.065847,-0.187706,0.092042
0.040000,-0.041345,-0.112632,1.016179,-0.158562,-0.464974,0.107777,0.396421,0.301139,1.006709,-0.902506,-0.501588,0.181326,0.587787,-0.349333,1.009669,-0.316918,-0.135118,0.137700,-0.658006,0.303244,1.010966,-0.053025,-0.344877,0.107872,-0.663770,-0.325248,1.009625,-0.065938,-0.187839,0.092014
0.060000,-0.044514,-0.121929,1.018334,-0.158381,-0.464700,0.107720,0.378377,0.291105,1.010336,-0.901782,-0.501792,0.181434,0.581453,-0.352036,1.012423,-0.316437,-0.135137,0.137712,-0.659068,0.296348,1.013123,-0.053232,-0.344732,0.107826,-0.665091,-0.329006,1.011465,-0.066091,-0.188060,0.091967
0.080000,-0.047679,-0.131219,1.020487,-0.158129,-0.464317,0.107641,0.360351,0.281067,1.013967,-0.900769,-0.502077,0.181585,0.575131,-0.354739,1.015178,-0.315763,-0.135163,0.137728,-0.660136,0.289455,1.015279,-0.053521,-0.344531,0.107761,-0.666414,-0.332771,1.013303,-0.066305,-0.188371,0.091901
0.100000,-0.050839,-0.140501,1.022639,-0.157804,-0.463824,0.107538,0.342349,0.271022,1.017600,-0.899466,-0.502444,0.181779,0.568824,-0.357443,1.017933,-0.314897,-0.135197,0.137750,-0.661210,0.282567,1.017434,-0.053892,-0.344271,0.107677,-0.667743,-0.336542,1.015140,-0.066580,-0.188770,0.091815
0.120000,-0.053991,-0.149771,1.024789,-0.157353,-0.463165,0.107388,0.324375,0.260969,1.021238,-0.897782,-0.502885,0.182012,0.562537,-0.360147,1.020688,-0.313756,-0.135201,0.137760,-0.662292,0.275685,1.019586,-0.054330,-0.343911,0.107553,-0.669078,-0.340322,1.016976,-0.066889,-0.189255,0.091696
0.140000,-0.057132,-0.159026,1.026934,-0.156722,-0.462281,0.107164,0.306440,0.250906,1.024881,-0.895627,-0.503395,0.182278,0.556276,-0.362850,1.023443,-0.312259,-0.135140,0.137744,-0.663383,0.268812,1.021735,-0.054817,-0.343408,0.107367,-0.670419,-0.344113,1.018808,-0.067206,-0.189822,0.091529
0.160000,-0.060258,-0.168261,1.029075,-0.155911,-0.461173,0.106867,0.288553,0.240832,1.028529,-0.892999,-0.503973,0.182577,0.550049,-0.365552,1.026197,-0.310405,-0.135012,0.137702,-0.664485,0.261950,1.023880,-0.055353,-0.342761,0.107119,-0.671766,-0.347915,1.020636,-0.067531,-0.190472,0.091312
0.180000,-0.063367,-0.177472,1.031208,-0.154920,-0.459840,0.106496,0.270724,0.230746,1.032184,-0.889899,-0.504619,0.182909,0.543862,-0.368250,1.028951,-0.308195,-0.134818,0.137632,-0.665598,0.255102,1.026020,-0.055939,-0.341971,0.106810,-0.673120,-0.351732,1.022460,-0.067863,-0.191205,0.091046
