time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s]
0.000000,0.034705,-0.002077,0.996640,-0.101874,0.101501,0.056738,0.738048,0.341140,0.991113,-0.257961,0.056345,0.047315,0.700608,-0.385783,0.998079,0.009539,0.255506,0.055195,-0.709401,0.396584,1.003443,0.048135,-0.306393,0.010305,-0.757576,-0.349417,0.989732,0.363244,-0.039258,0.044049
0.020000,0.032667,-0.000047,0.997775,-0.101957,0.101504,0.056750,0.732888,0.342267,0.992059,-0.258036,0.056365,0.047331,0.700799,-0.380672,0.999183,0.009548,0.255586,0.055208,-0.708439,0.390456,1.003649,0.048154,-0.306484,0.010307,-0.750310,-0.350202,0.990613,0.363351,-0.039259,0.044065
0.040000,0.030625,0.001983,0.998910,-0.102204,0.101513,0.056785,0.727725,0.343395,0.993006,-0.258263,0.056427,0.047380,0.700990,-0.375558,1.000288,0.009575,0.255826,0.055247,-0.707475,0.384324,1.003855,0.048209,-0.306759,0.010311,-0.743040,-0.350987,0.991495,0.363675,-0.039263,0.044113
0.060000,0.028577,0.004014,1.000047,-0.102617,0.101528,0.056845,0.722557,0.344525,0.993955,-0.258641,0.056530,0.047462,0.701182,-0.370438,1.001393,0.009620,0.256226,0.055313,-0.706510,0.378184,1.004061,0.048301,-0.307217,0.010319,-0.735762,-0.351773,0.992378,0.364213,-0.039270,0.044193
0.080000,0.026520,0.006044,1.001184,-0.103195,0.101549,0.056928,0.717379,0.345657,0.994905,-0.259170,0.056674,0.047576,0.701375,-0.365308,1.002500,0.009683,0.256785,0.055404,-0.705543,0.372034,1.004268,0.048431,-0.307858,0.010330,-0.728470,-0.352558,0.993262,0.364968,-0.039278,0.044306
0.100000,0.024449,0.008076,1.002324,-0.103939,0.101575,0.057035,0.712189,0.346792,0.995858,-0.259850,0.056860,0.047723,0.701569,-0.360165,1.003610,0.009764,0.257504,0.055522,-0.704572,0.365869,1.004475,0.048597,-0.308681,0.010344,-0.721161,-0.353344,0.994150,0.365938,-0.039290,0.044450
0.120000,0.022360,0.010107,1.003466,-0.104915,0.101591,0.057169,0.706983,0.347931,0.996814,-0.260715,0.057094,0.047912,0.701766,-0.355007,1.004721,0.009860,0.258418,0.055672,-0.703598,0.359685,1.004682,0.048815,-0.309730,0.010364,-0.713831,-0.354130,0.995041,0.367182,-0.039307,0.044635
0.140000,0.020250,0.012139,1.004611,-0.106190,0.101578,0.057334,0.701759,0.349076,0.997775,-0.261800,0.057385,0.048153,0.701964,-0.349827,1.005837,0.009966,0.259560,0.055862,-0.702619,0.353478,1.004889,0.049097,-0.311043,0.010393,-0.706472,-0.354916,0.995936,0.368758,-0.039336,0.044867
0.160000,0.018111,0.014170,1.005759,-0.107765,0.101537,0.057529,0.696510,0.350227,0.998741,-0.263105,0.057734,0.048446,0.702164,-0.344623,1.006956,0.010083,0.260932,0.056091,-0.701634,0.347242,1.005097,0.049445,-0.312622,0.010431,-0.699078,-0.355703,0.996836,0.370666,-0.039375,0.045145
0.180000,0.015937,0.016200,1.006912,-0.109639,0.101468,0.057755,0.691233,0.351386,0.999713,-0.264629,0.058139,0.048790,0.702367,-0.339388,1.008081,0.010211,0.262533,0.056360,-0.700641,0.340971,1.005306,0.049857,-0.314467,0.010478,-0.691643,-0.356491,0.997742,0.372907,-0.039424,0.045472
