time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s]
0.000000,0.997609,-0.996994,1.006252,0.017076,-0.001082,0.033848,0.998201,-0.000511,1.005753,0.032946,0.000713,0.017981,0.997509,0.996646,1.005353,0.019994,0.000568,0.039020,-0.000614,-0.997432,1.005204,0.024221,-0.033444,0.019665,0.013846,-0.004331,1.005221,-0.142210,0.051812,0.017835,0.000871,0.997324,1.005303,0.021295,0.033541,0.019395,-0.998219,-0.997964,1.005968,0.019766,-0.038426,0.040406,-0.996636,0.000887,1.004580,-0.049910,-0.062038,0.038126,-0.998633,0.996870,1.004519,0.023014,0.042659,0.044457
0.010000,0.997780,-0.997005,1.006590,0.017077,-0.001083,0.033847,0.998531,-0.000504,1.005933,0.032946,0.000713,0.017981,0.997709,0.996652,1.005744,0.019995,0.000570,0.039020,-0.000372,-0.997767,1.005401,0.024221,-0.033444,0.019665,0.012424,-0.003813,1.005399,-0.142215,0.051813,0.017835,0.001084,0.997659,1.005497,0.021294,0.033541,0.019395,-0.998022,-0.998348,1.006372,0.019764,-0.038427,0.040406,-0.997135,0.000266,1.004961,-0.049911,-0.062038,0.038126,-0.998402,0.997297,1.004963,0.023013,0.042660,0.044458
0.020000,0.997951,-0.997016,1.006929,0.017080,-0.001088,0.033846,0.998860,-0.000497,1.006113,0.032947,0.000714,0.017980,0.997909,0.996657,1.006134,0.019998,0.000575,0.039020,-0.000130,-0.998101,1.005597,0.024221,-0.033446,0.019665,0.011002,-0.003295,1.005577,-0.142230,0.051818,0.017836,0.001297,0.997995,1.005691,0.021292,0.033543,0.019395,-0.997824,-0.998732,1.006776,0.019761,-0.038429,0.040404,-0.997634,-0.000354,1.005343,-0.049914,-0.062037,0.038127,-0.998172,0.997724,1.005408,0.023010,0.042663,0.044459
0.030000,0.998121,-0.997027,1.007267,0.017085,-0.001095,0.033843,0.999190,-0.000490,1.006292,0.032948,0.000715,0.017978,0.998109,0.996663,1.006524,0.020004,0.000584,0.039019,0.000112,-0.998436,1.005794,0.024221,-0.033450,0.019665,0.009580,-0.002776,1.005756,-0.142255,0.051825,0.017836,0.001510,0.998330,1.005885,0.021288,0.033547,0.019394,-0.997626,-0.999117,1.007180,0.019755,-0.038432,0.040402,-0.998133,-0.000974,1.005724,-0.049920,-0.062036,0.038129,-0.997942,0.998150,1.005852,0.023005,0.042669,0.044460
0.040000,0.998292,-0.997038,1.007605,0.017091,-0.001106,0.033839,0.999519,-0.000483,1.006472,0.032950,0.000717,0.017976,0.998309,0.996669,1.006914,0.020011,0.000595,0.039018,0.000355,-0.998770,1.005991,0.024220,-0.033454,0.019665,0.008157,-0.002258,1.005934,-0.142291,0.051836,0.017837,0.001722,0.998666,1.006079,0.021282,0.033552,0.019394,-0.997429,-0.999501,1.007584,0.019746,-0.038436,0.040399,-0.998633,-0.001595,1.006105,-0.049928,-0.062035,0.038131,-0.997712,0.998577,1.006297,0.022998,0.042677,0.044462
0.050000,0.998463,-0.997049,1.007944,0.017100,-0.001120,0.033833,0.999849,-0.000476,1.006652,0.032952,0.000719,0.017974,0.998509,0.996675,1.007304,0.020020,0.000611,0.039017,0.000597,-0.999105,1.006187,0.024220,-0.033460,0.019665,0.006734,-0.001740,1.006113,-0.142336,0.051849,0.017838,0.001935,0.999001,1.006273,0.021275,0.033559,0.019393,-0.997231,-0.999885,1.007988,0.019736,-0.038441,0.040395,-0.999132,-0.002215,1.006487,-0.049938,-0.062032,0.038133,-0.997482,0.999004,1.006742,0.022989,0.042687,0.044465
0.060000,0.998634,-0.997060,1.008282,0.017111,-0.001136,0.033827,1.000178,-0.000468,1.006832,0.032955,0.000722,0.017971,0.998709,0.996681,1.007694,0.020031,0.000629,0.039015,0.000839,-0.999439,1.006384,0.024220,-0.033468,0.019665,0.005310,-0.001221,1.006291,-0.142392,0.051865,0.017839,0.002148,0.999337,1.006467,0.021267,0.033567,0.019393,-0.997034,-1.000270,1.008392,0.019723,-0.038448,0.040390,-0.999631,-0.002835,1.006868,-0.049951,-0.062030,0.038137,-0.997252,0.999431,1.007186,0.022978,0.042700,0.044468
0.070000,0.998805,-0.997072,1.008620,0.017123,-0.001156,0.033820,1.000508,-0.000461,1.007011,0.032958,0.000725,0.017967,0.998909,0.996688,1.008085,0.020044,0.000651,0.039014,0.001081,-0.999774,1.006581,0.024219,-0.033476,0.019665,0.003886,-0.000702,1.006469,-0.142457,0.051885,0.017841,0.002361,0.999673,1.006661,0.021256,0.033576,0.019392,-0.996837,-1.000654,1.008796,0.019707,-0.038455,0.040385,-1.000131,-0.003456,1.007249,-0.049966,-0.062027,0.038141,-0.997023,0.999858,1.007631,0.022965,0.042715,0.044471
0.080000,0.998977,-0.997084,1.008958,0.017138,-0.001179,0.033811,1.000837,-0.000454,1.007191,0.032962,0.000729,0.017963,0.999110,0.996694,1.008475,0.020059,0.000677,0.039012,0.001323,-1.000109,1.006777,0.024218,-0.033486,0.019665,0.002461,-0.000183,1.006648,-0.142533,0.051907,0.017842,0.002573,1.000008,1.006855,0.021245,0.033587,0.019391,-0.996640,-1.001039,1.009199,0.019689,-0.038464,0.040378,-1.000631,-0.004076,1.007631,-0.049984,-0.062023,0.038145,-0.996793,1.000285,1.008076,0.022950,0.042732,0.044476
0.090000,0.999148,-0.997096,1.009297,0.017154,-0.001205,0.033801,1.001167,-0.000447,1.007371,0.032966,0.000733,0.017958,0.999311,0.996701,1.008865,0.020077,0.000706,0.039009,0.001566,-1.000444,1.006974,0.024218,-0.033498,0.019665,0.001035,0.000336,1.006826,-0.142619,0.051932,0.017844,0.002785,1.000344,1.007049,0.021231,0.033599,0.019390,-0.996443,-1.001424,1.009603,0.019669,-0.038474,0.040371,-1.001131,-0.004696,1.008012,-0.050003,-0.062019,0.038150,-0.996564,1.000713,1.008521,0.022934,0.042751,0.044480
0.100000,0.999320,-0.997108,1.009634,0.017172,-0.001234,0.033790,1.001497,-0.000439,1.007550,0.032971,0.000738,0.017952,0.999511,0.996708,1.009255,0.020096,0.000738,0.039007,0.001808,-1.000779,1.007170,0.024217,-0.033510,0.019664,-0.000391,0.000855,1.007005,-0.142715,0.051960,0.017846,0.002998,1.000680,1.007243,0.021216,0.033613,0.019389,-0.996247,-1.001808,1.010007,0.019646,-0.038486,0.040362,-1.001631,-0.005316,1.008394,-0.050025,-0.062014,0.038156,-0.996335,1.001140,1.008965,0.022915,0.042773,0.044486
0.110000,0.999492,-0.997120,1.009972,0.017192,-0.001265,0.033777,1.001827,-0.000432,1.007730,0.032976,0.000744,0.017946,0.999712,0.996716,1.009645,0.020116,0.000773,0.039003,0.002050,-1.001114,1.007367,0.024216,-0.033524,0.019664,-0.001819,0.001375,1.007183,-0.142823,0.051992,0.017849,0.003210,1.001017,1.007437,0.021200,0.033628,0.019388,-0.996050,-1.002193,1.010410,0.019621,-0.038497,0.040352,-1.002131,-0.005936,1.008775,-0.050049,-0.062009,0.038162,-0.996105,1.001568,1.009410,0.022894,0.042796,0.044491
0.120000,0.999664,-0.997133,1.010310,0.017211,-0.001298,0.033760,1.002156,-0.000424,1.007909,0.032980,0.000750,0.017940,0.999914,0.996724,1.010035,0.020137,0.000811,0.038997,0.002292,-1.001449,1.007564,0.024216,-0.033539,0.019665,-0.003248,0.001895,1.007362,-0.142946,0.052027,0.017853,0.003422,1.001353,1.007631,0.021180,0.033644,0.019387,-0.995854,-1.002578,1.010814,0.019592,-0.038506,0.040339,-1.002632,-0.006556,1.009157,-0.050072,-0.062002,0.038167,-0.995877,1.001996,1.009855,0.022870,0.042819,0.044496
0.130000,0.999836,-0.997146,1.010647,0.017231,-0.001333,0.033740,1.002486,-0.000417,1.008088,0.032984,0.000758,0.017933,1.000115,0.996732,1.010425,0.020157,0.000851,0.038990,0.002534,-1.001785,1.007760,0.024216,-0.033554,0.019665,-0.004678,0.002416,1.007540,-0.143083,0.052067,0.017859,0.003633,1.001690,1.007824,0.021159,0.033661,0.019386,-0.995659,-1.002963,1.011217,0.019560,-0.038514,0.040322,-1.003133,-0.007176,1.009539,-0.050097,-0.061993,0.038173,-0.995648,1.002424,1.010300,0.022843,0.042842,0.044501
0.140000,1.000008,-0.997160,1.010985,0.017250,-0.001370,0.033717,1.002816,-0.000409,1.008268,0.032987,0.000766,0.017925,1.000317,0.996741,1.010815,0.020177,0.000894,0.038980,0.002776,-1.002121,1.007957,0.024216,-0.033571,0.019666,-0.006110,0.002936,1.007719,-0.143236,0.052110,0.017867,0.003845,1.002026,1.008018,0.021135,0.033679,0.019385,-0.995463,-1.003349,1.011620,0.019524,-0.038521,0.040303,-1.003634,-0.007796,1.009920,-0.050121,-0.061983,0.038178,-0.995420,1.002853,1.010745,0.022814,0.042865,0.044505
0.150000,1.000181,-0.997174,1.011322,0.017270,-0.001409,0.033690,1.003146,-0.000401,1.008447,0.032990,0.000776,0.017917,1.000519,0.996750,1.011205,0.020197,0.000939,0.038968,0.003019,-1.002456,1.008154,0.024217,-0.033588,0.019668,-0.007543,0.003458,1.007898,-0.143403,0.052157,0.017875,0.004056,1.002363,1.008212,0.021108,0.033698,0.019385,-0.995268,-1.003734,1.012023,0.019486,-0.038526,0.040281,-1.004135,-0.008416,1.010302,-0.050146,-0.061972,0.038183,-0.995192,1.003282,1.011190,0.022782,0.042889,0.044508
0.160000,1.000354,-0.997188,1.011659,0.017289,-0.001449,0.033660,1.003476,-0.000394,1.008626,0.032992,0.000786,0.017908,1.000721,0.996760,1.011594,0.020217,0.000987,0.038954,0.003261,-1.002792,1.008350,0.024217,-0.033606,0.019670,-0.008978,0.003980,1.008076,-0.143584,0.052209,0.017885,0.004267,1.002700,1.008406,0.021080,0.033718,0.019385,-0.995073,-1.004119,1.012426,0.019444,-0.038529,0.040255,-1.004637,-0.009036,1.010684,-0.050172,-0.061958,0.038188,-0.994964,1.003711,1.011635,0.022747,0.042913,0.044511
0.170000,1.000527,-0.997203,1.011995,0.017309,-0.001492,0.033627,1.003806,-0.000386,1.008805,0.032994,0.000797,0.017898,1.000923,0.996770,1.011984,0.020237,0.001038,0.038938,0.003503,-1.003128,1.008547,0.024218,-0.033625,0.019672,-0.010415,0.004502,1.008255,-0.143780,0.052264,0.017897,0.004478,1.003037,1.008600,0.021048,0.033740,0.019385,-0.994879,-1.004504,1.012828,0.019399,-0.038531,0.040227,-1.005138,-0.009655,1.011066,-0.050197,-0.061944,0.038192,-0.994737,1.004140,1.012080,0.022709,0.042937,0.044513
