time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s]
0.000000,0.034004,0.003471,1.002004,-0.099425,0.108868,0.003911,0.739887,0.342713,0.998560,-0.278740,0.046716,0.004511,0.711359,-0.380179,1.004284,0.020747,0.292399,0.003706,-0.707204,0.403608,1.004708,0.054046,-0.315991,-0.002860,-0.760110,-0.348542,0.997862,0.378279,-0.031261,0.001664
0.020000,0.032015,0.005649,1.002082,-0.099506,0.108860,0.003910,0.734312,0.343648,0.998650,-0.278820,0.046734,0.004513,0.711773,-0.374331,1.004358,0.020733,0.292465,0.003704,-0.706123,0.397288,1.004650,0.054063,-0.316092,-0.002862,-0.752544,-0.349167,0.997896,0.378390,-0.031264,0.001665
0.040000,0.030023,0.007826,1.002160,-0.099750,0.108835,0.003907,0.728733,0.344583,0.998741,-0.279058,0.046788,0.004519,0.712188,-0.368480,1.004432,0.020688,0.292664,0.003699,-0.705041,0.390963,1.004593,0.054114,-0.316393,-0.002870,-0.744973,-0.349793,0.997929,0.378723,-0.031272,0.001668
0.060000,0.028024,0.010002,1.002238,-0.100156,0.108794,0.003902,0.723148,0.345519,0.998831,-0.279455,0.046878,0.004530,0.712601,-0.362623,1.004506,0.020614,0.292995,0.003691,-0.703958,0.384631,1.004536,0.054199,-0.316895,-0.002882,-0.737393,-0.350418,0.997962,0.379279,-0.031286,0.001672
0.080000,0.026015,0.012177,1.002316,-0.100724,0.108736,0.003896,0.717554,0.346458,0.998922,-0.280010,0.047004,0.004545,0.713012,-0.356759,1.004580,0.020511,0.293459,0.003679,-0.702873,0.378286,1.004478,0.054318,-0.317598,-0.002900,-0.729800,-0.351044,0.997996,0.380056,-0.031306,0.001679
0.100000,0.023994,0.014351,1.002394,-0.101454,0.108662,0.003888,0.711947,0.347400,0.999013,-0.280724,0.047166,0.004565,0.713421,-0.350884,1.004653,0.020378,0.294055,0.003665,-0.701785,0.371926,1.004420,0.054471,-0.318502,-0.002922,-0.722190,-0.351671,0.998030,0.381056,-0.031331,0.001686
0.120000,0.021956,0.016523,1.002472,-0.102409,0.108545,0.003877,0.706324,0.348345,0.999105,-0.281629,0.047369,0.004591,0.713827,-0.344996,1.004726,0.020204,0.294811,0.003646,-0.700694,0.365544,1.004361,0.054670,-0.319650,-0.002950,-0.714556,-0.352298,0.998063,0.382339,-0.031365,0.001696
0.140000,0.019896,0.018693,1.002549,-0.103650,0.108358,0.003863,0.700680,0.349295,0.999197,-0.282756,0.047619,0.004624,0.714229,-0.339090,1.004799,0.019976,0.295753,0.003623,-0.699598,0.359138,1.004302,0.054926,-0.321088,-0.002985,-0.706894,-0.352925,0.998097,0.383964,-0.031408,0.001708
0.160000,0.017808,0.020857,1.002626,-0.105177,0.108103,0.003845,0.695012,0.350250,0.999290,-0.284105,0.047915,0.004666,0.714626,-0.333164,1.004871,0.019694,0.296881,0.003596,-0.698496,0.352699,1.004241,0.055239,-0.322816,-0.003025,-0.699195,-0.353554,0.998132,0.385933,-0.031462,0.001721
0.180000,0.015687,0.023016,1.002703,-0.106991,0.107779,0.003824,0.689314,0.351212,0.999383,-0.285677,0.048258,0.004716,0.715016,-0.327214,1.004943,0.019358,0.298196,0.003564,-0.697388,0.346223,1.004180,0.055609,-0.324832,-0.003072,-0.691454,-0.354184,0.998166,0.388244,-0.031526,0.001737
0.200000,0.013526,0.025168,1.002779,-0.109091,0.107386,0.003800,0.683583,0.352181,0.999478,-0.287471,0.048647,0.004774,0.715400,-0.321235,1.005014,0.018969,0.299697,0.003528,-0.696272,0.339704,1.004119,0.056037,-0.327138,-0.003126,-0.683663,-0.354815,0.998201,0.390898,-0.031601,0.001754
0.220000,0.011321,0.027311,1.002855,-0.111510,0.106899,0.003772,0.677814,0.353158,0.999574,-0.289488,0.049088,0.004840,0.715775,-0.315225,1.005084,0.018521,0.301385,0.003487,-0.695146,0.333136,1.004055,0.056535,-0.329726,-0.003185,-0.675816,-0.355448,0.998236,0.393902,-0.031684,0.001773
0.240000,0.009064,0.029443,1.002930,-0.114283,0.106294,0.003740,0.672002,0.354145,0.999672,-0.291727,0.049583,0.004917,0.716140,-0.309178,1.005153,0.018009,0.303262,0.003443,-0.694010,0.326513,1.003991,0.057115,-0.332593,-0.003248,-0.667905,-0.356083,0.998272,0.397264,-0.031776,0.001794
0.260000,0.006747,0.031562,1.003005,-0.117409,0.105571,0.003704,0.666143,0.355142,0.999771,-0.294189,0.050135,0.005003,0.716495,-0.303093,1.005222,0.017434,0.305327,0.003393,-0.692861,0.319830,1.003925,0.057777,-0.335736,-0.003316,-0.659923,-0.356719,0.998308,0.400982,-0.031876,0.001816
0.280000,0.004365,0.033665,1.003078,-0.120888,0.104730,0.003665,0.660233,0.356150,0.999872,-0.296874,0.050741,0.005099,0.716837,-0.296964,1.005289,0.016795,0.307580,0.003340,-0.691698,0.313082,1.003858,0.058522,-0.339158,-0.003388,-0.651863,-0.357358,0.998345,0.405057,-0.031985,0.001840
0.300000,0.001909,0.035750,1.003151,-0.124720,0.103771,0.003621,0.654267,0.357172,0.999975,-0.299782,0.051404,0.005205,0.717166,-0.290788,1.005355,0.016092,0.310022,0.003282,-0.690520,0.306262,1.003790,0.059348,-0.342856,-0.003464,-0.643718,-0.357998,0.998382,0.409490,-0.032101,0.001865
0.320000,-0.000626,0.037815,1.003223,-0.128894,0.102690,0.003574,0.648241,0.358207,1.000080,-0.302895,0.052128,0.005321,0.717480,-0.284562,1.005420,0.015327,0.312636,0.003220,-0.689323,0.299366,1.003720,0.060272,-0.346807,-0.003543,-0.635481,-0.358642,0.998419,0.414251,-0.032223,0.001891
0.340000,-0.003249,0.039857,1.003294,-0.133401,0.101482,0.003524,0.642150,0.359257,1.000188,-0.306196,0.052923,0.005446,0.717779,-0.278282,1.005484,0.014499,0.315407,0.003154,-0.688108,0.292388,1.003648,0.061307,-0.350985,-0.003622,-0.627146,-0.359287,0.998457,0.419315,-0.032349,0.001918
0.360000,-0.005965,0.041874,1.003364,-0.138240,0.100148,0.003471,0.635991,0.360324,1.000298,-0.309684,0.053788,0.005581,0.718060,-0.271945,1.005546,0.013609,0.318335,0.003084,-0.686870,0.285325,1.003575,0.062453,-0.355390,-0.003702,-0.618707,-0.359936,0.998496,0.424679,-0.032477,0.001945
