time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s]
0.000000,0.028080,0.000137,1.002451,-0.090692,0.100082,0.005122,0.740439,0.343439,0.998012,-0.259204,0.047654,0.005377,0.708802,-0.381729,1.005350,0.027552,0.282380,0.006083,-0.708196,0.395394,1.004181,0.055048,-0.301935,-0.002113,-0.759396,-0.349399,0.998292,0.365841,-0.039003,0.000328
0.020000,0.026266,0.002139,1.002553,-0.090761,0.100080,0.005121,0.735254,0.344393,0.998119,-0.259284,0.047670,0.005380,0.709353,-0.376081,1.005472,0.027542,0.282450,0.006079,-0.707095,0.389355,1.004139,0.055065,-0.302023,-0.002115,-0.752078,-0.350179,0.998299,0.365952,-0.039005,0.000329
0.040000,0.024449,0.004141,1.002656,-0.090969,0.100076,0.005118,0.730066,0.345346,0.998227,-0.259525,0.047718,0.005389,0.709903,-0.370430,1.005593,0.027513,0.282659,0.006064,-0.705993,0.383312,1.004096,0.055115,-0.302287,-0.002123,-0.744756,-0.350959,0.998305,0.366287,-0.039008,0.000330
0.060000,0.022626,0.006142,1.002758,-0.091316,0.100069,0.005112,0.724872,0.346302,0.998335,-0.259927,0.047798,0.005405,0.710453,-0.364774,1.005714,0.027464,0.283007,0.006040,-0.704890,0.377262,1.004054,0.055199,-0.302727,-0.002135,-0.737425,-0.351739,0.998312,0.366844,-0.039015,0.000332
0.080000,0.020795,0.008143,1.002860,-0.091801,0.100059,0.005104,0.719668,0.347259,0.998443,-0.260490,0.047910,0.005427,0.711002,-0.359109,1.005835,0.027397,0.283495,0.006007,-0.703785,0.371202,1.004011,0.055317,-0.303343,-0.002152,-0.730081,-0.352520,0.998319,0.367623,-0.039024,0.000335
0.100000,0.018953,0.010144,1.002962,-0.092425,0.100046,0.005094,0.714451,0.348218,0.998552,-0.261213,0.048054,0.005455,0.711549,-0.353433,1.005955,0.027309,0.284121,0.005964,-0.702677,0.365127,1.003967,0.055469,-0.304135,-0.002174,-0.722719,-0.353300,0.998325,0.368626,-0.039036,0.000339
0.120000,0.017097,0.012145,1.003064,-0.093243,0.100010,0.005080,0.709218,0.349181,0.998662,-0.262135,0.048235,0.005491,0.712094,-0.347743,1.006073,0.027199,0.284915,0.005912,-0.701566,0.359035,1.003924,0.055665,-0.305141,-0.002201,-0.715334,-0.354081,0.998332,0.369913,-0.039054,0.000344
0.140000,0.015222,0.014144,1.003165,-0.094309,0.099931,0.005061,0.703964,0.350148,0.998772,-0.263296,0.048459,0.005539,0.712637,-0.342035,1.006191,0.027062,0.285904,0.005850,-0.700450,0.352920,1.003879,0.055917,-0.306401,-0.002235,-0.707920,-0.354862,0.998339,0.371546,-0.039083,0.000349
0.160000,0.013323,0.016142,1.003266,-0.095624,0.099809,0.005038,0.698685,0.351120,0.998883,-0.264695,0.048724,0.005598,0.713176,-0.336306,1.006307,0.026898,0.287088,0.005779,-0.699329,0.346777,1.003834,0.056226,-0.307914,-0.002275,-0.700470,-0.355644,0.998346,0.373525,-0.039123,0.000354
0.180000,0.011395,0.018137,1.003367,-0.097187,0.099645,0.005011,0.693375,0.352097,0.998996,-0.266332,0.049031,0.005669,0.713712,-0.330551,1.006422,0.026708,0.288468,0.005698,-0.698201,0.340602,1.003788,0.056590,-0.309681,-0.002322,-0.692977,-0.356427,0.998353,0.375849,-0.039173,0.000360
0.200000,0.009434,0.020127,1.003467,-0.098999,0.099437,0.004979,0.688030,0.353081,0.999110,-0.268207,0.049381,0.005750,0.714244,-0.324766,1.006535,0.026490,0.290042,0.005608,-0.697065,0.334388,1.003741,0.057011,-0.311701,-0.002375,-0.685433,-0.357211,0.998361,0.378520,-0.039235,0.000366
0.220000,0.007434,0.022114,1.003566,-0.101092,0.099165,0.004942,0.682645,0.354073,0.999226,-0.270329,0.049776,0.005843,0.714772,-0.318948,1.006646,0.026243,0.291813,0.005509,-0.695920,0.328132,1.003693,0.057497,-0.313970,-0.002434,-0.677833,-0.357997,0.998368,0.381547,-0.039307,0.000373
0.240000,0.005388,0.024094,1.003664,-0.103499,0.098808,0.004900,0.677215,0.355073,0.999344,-0.272706,0.050222,0.005950,0.715294,-0.313092,1.006756,0.025962,0.293783,0.005403,-0.694765,0.321828,1.003644,0.058058,-0.316481,-0.002497,-0.670169,-0.358784,0.998376,0.384943,-0.039392,0.000378
0.260000,0.003291,0.026065,1.003762,-0.106221,0.098365,0.004852,0.671735,0.356082,0.999464,-0.275337,0.050719,0.006071,0.715810,-0.307195,1.006862,0.025647,0.295952,0.005289,-0.693597,0.315471,1.003593,0.058692,-0.319235,-0.002566,-0.662433,-0.359573,0.998383,0.388707,-0.039489,0.000383
0.280000,0.001137,0.028028,1.003858,-0.109257,0.097836,0.004799,0.666200,0.357102,0.999587,-0.278223,0.051266,0.006204,0.716320,-0.301253,1.006967,0.025299,0.298319,0.005168,-0.692416,0.309057,1.003541,0.059401,-0.322232,-0.002640,-0.654618,-0.360363,0.998391,0.392839,-0.039598,0.000388
0.300000,-0.001081,0.029978,1.003954,-0.112607,0.097221,0.004740,0.660604,0.358133,0.999712,-0.281364,0.051863,0.006352,0.716822,-0.295261,1.007069,0.024916,0.300885,0.005039,-0.691221,0.302580,1.003488,0.060184,-0.325472,-0.002718,-0.646717,-0.361157,0.998399,0.397339,-0.039719,0.000392
0.320000,-0.003369,0.031916,1.004048,-0.116269,0.096512,0.004677,0.654944,0.359177,0.999841,-0.284749,0.052517,0.006512,0.717316,-0.289216,1.007169,0.024500,0.303635,0.004904,-0.690008,0.296036,1.003433,0.061051,-0.328932,-0.002800,-0.638723,-0.361952,0.998407,0.402184,-0.039851,0.000395
0.340000,-0.005734,0.033838,1.004141,-0.120238,0.095700,0.004608,0.649213,0.360234,0.999973,-0.288366,0.053234,0.006685,0.717802,-0.283114,1.007265,0.024051,0.306554,0.004763,-0.688778,0.289422,1.003376,0.062011,-0.332592,-0.002884,-0.630628,-0.362751,0.998414,0.407350,-0.039992,0.000396
0.360000,-0.008181,0.035743,1.004232,-0.124515,0.094785,0.004535,0.643407,0.361306,1.000108,-0.292217,0.054014,0.006871,0.718278,-0.276953,1.007359,0.023568,0.309644,0.004617,-0.687527,0.282731,1.003317,0.063064,-0.336450,-0.002969,-0.622426,-0.363552,0.998422,0.412838,-0.040143,0.000395
0.380000,-0.010716,0.037629,1.004322,-0.129101,0.093767,0.004457,0.637523,0.362395,1.000248,-0.296301,0.054857,0.007071,0.718744,-0.270727,1.007450,0.023052,0.312903,0.004466,-0.686255,0.275962,1.003257,0.064210,-0.340507,-0.003056,-0.614112,-0.364357,0.998430,0.418648,-0.040303,0.000392
